Country,Happiness Rank,Happiness Score,Corruption,Human Development Index,Life Expectancy at Birth,Mean Years of Schooling,GDP Per Capita,Inequality in eduation,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Carbon dioxide emissions per capita (production) (tonnes),Year
Nicaragua,57,5.828,0.19317,0.647,72.983,6.68,5425.088815,25.79903661,0.442,101,0.872584056,2015
Peru,58,5.824,0.05989,0.759,75.6206,9.094240189,11705.74373,15.28603,0.425,94,1.610292683,2015
Belarus,59,5.813,0.1909,0.812,73.9874,11.76225224,17544.19914,3.67781,0.139,3,6.148416063,2015
Poland,60,5.791,0.04212,0.868,77.4151,12.92106485,26821.51433,5.09326,0.134,2,8.240480859,2015
Malaysia,61,5.77,0.10501,0.797,75.0942,10.25508531,24113.72839,15.55704832,0.261,30,7.658953819,2015
Croatia,62,5.759,0.0243,0.843,77.5599,11.65574329,24734.00015,5.16336,0.144,8,4.209244121,2015
Jamaica,65,5.709,0.02299,0.713,72.394,8.789758241,9184.322717,5.60595,0.392,78,2.765597344,2015
Cyprus,67,5.689,0.06146,0.871,80.9665,11.86548042,34243.04912,11.70944,0.117,7,6.003867406,2015
Algeria,68,5.605,0.17383,0.74,75.622,7.813979964,11421.66895,33.68956,0.429,114,3.76769044,2015
Mauritius,71,5.477,0.07521,0.795,74.9754,9.425843626,21657.23264,21.91298205,0.396,73,3.342633645,2015
Estonia,73,5.429,0.15184,0.882,77.6563,13.48861027,30361.38783,2.46844,0.13,10,12.05740026,2015
Indonesia,74,5.399,0,0.695,69.6989,7.914480209,9815.404496,18.62336339,0.478,192,2.134330639,2015
Turkey,76,5.332,0.15746,0.817,76.646,7.958399773,25766.03064,14.59371053,0.335,19,4.855912006,2015
Kyrgyzstan,77,5.286,0.04232,0.69,69.9963,11.35021038,4632.765992,4.97927,0.39,66,1.724902045,2015
Nigeria,78,5.268,0.0403,0.516,51.8413,6.175595284,5356.223001,43.81248,0.676,931,0.626430378,2015
Bhutan,79,5.253,0.15445,0.627,70.3433,3.321951962,9370.597632,44.81067,0.498,203,1.325830224,2015
