Country,Happiness Rank,Happiness Score,Corruption,Human Development Index,Life Expectancy at Birth,Mean Years of Schooling,GDP Per Capita,Inequality in eduation,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Carbon dioxide emissions per capita (production) (tonnes),Year
Bangladesh,110,4.643,0.12583,0.612,71.09,6.113890171,4142.902911,37.30855,0.551,186,0.48410228,2016
Sierra Leone,111,4.635,0.08196,0.457,58.4045,4.21481171,1430.636491,47.29928,0.643,1120,0.123486219,2016
Iraq,112,4.575,0.13636,0.679,68.9878,7.837934567,10906.04372,30.63102,0.543,78,5.308878579,2016
Namibia,113,4.574,0.10398,0.632,61.6825,7.037678228,10270.48517,25.01567,0.454,207,1.718034099,2016
Cameroon,114,4.513,0.06126,0.564,60.2333,5.983691359,3574.466975,32.95967,0.579,538,0.326632953,2016
Ethiopia,115,4.508,0.1717,0.47,64.3919,2.681135178,1888.608252,43.50563,0.53,422,0.138483789,2016
South Africa,116,4.459,0.08415,0.719,64.7469,10.18788004,13545.35859,17.29413,0.418,122,8.268787844,2016
Sri Lanka,117,4.415,0.07964,0.767,75.3314,10.50934029,11961.24757,11.99693,0.376,36,1.095424227,2016
India,118,4.404,0.08722,0.639,70.1167,6.350639359,5732.913931,38.66773,0.516,150,1.79855959,2016
Myanmar,119,4.395,0.20243,0.572,65.685,5.95272715,3891.244863,26.85272,0.51,245,0.479538196,2016
Egypt,120,4.362,0.10393,0.713,70.8435,8.806776914,10646.46932,36.94291,0.443,38,2.478876185,2016
Armenia,121,4.36,0.03616,0.765,74.6639,11.37989998,11570.46772,2.93495,0.306,26,1.772052655,2016
Kenya,122,4.356,0.06686,0.569,62.1632,6.388,4089.709912,22.89552,0.527,346,0.349754607,2016
Ukraine,123,4.324,0.01829,0.779,74.3121,11.15577802,11649.48105,3.59926,0.275,20,5.233429341,2016
Ghana,124,4.276,0.0326,0.611,63.8902,7.919448013,4642.154745,34.92485,0.55,314,0.580968048,2016
Georgia,126,4.252,0.3188,0.794,73.5692,12.81457043,12382.40144,2.517036309,0.326,26,2.506867225,2016
Senegal,128,4.219,0.11681,0.507,67.4969,2.818639934,2987.651416,46.45389,0.533,330,0.668001955,2016
Bulgaria,129,4.217,0.00615,0.809,74.8336,11.23243999,20532.41676,6.51633,0.216,10,6.362234204,2016
Mauritania,130,4.201,0.17955,0.541,64.7679,4.577192976,4852.883488,40.78516,0.633,777,0.608978,2016
Zimbabwe,131,4.193,0.08582,0.588,60.3059,8.34528319,3606.750671,16.80576,0.537,468,0.765313377,2016
Malawi,132,4.156,0.07564,0.498,62.2093,4.210832318,1421.541999,28.42429,0.58,358,0.075930263,2016
Sudan,133,4.139,0.10039,0.511,64.7801,3.67,4587.178842,42.45021,0.567,308,0.484630894,2016
Gabon,134,4.121,0.09314,0.702,65.8025,9.094,14170.45668,23.47992,0.555,256,2.709882547,2016
Mali,135,4.073,0.13647,0.421,58.7313,1.98,2137.343333,46.17695,0.677,590,0.185311322,2016
Haiti,136,4.028,0.14476,0.532,63.3922,5.326,3126.953431,38.29759,0.774,489,0.275194489,2016
Botswana,137,3.974,0.10769,0.713,65.4644,10.1,15856.54951,23.27683,0.48,151,2.932275026,2016
Ivory Coast,139,3.916,0.1553,0.524,58.0599,4.921027531,4512.459543,45.60904,0.645,636,0.49524584,2016
Cambodia,140,3.907,0.08092,0.581,70.2244,4.722,3501.466995,27.30485,0.475,168,0.668089872,2016
Angola,141,3.866,0.08434,0.596,61.0923,5.417390823,7189.426672,34.17144,0.529,246,1.088803397,2016
Niger,142,3.856,0.17176,0.383,61.6288,1.882464437,1188.941701,34.96483,0.648,530,0.09929867,2016
South Sudan,143,3.832,0.13015,0.402,55.5437,5.726140022,970.485,39.55255,0.598,1130,0.157285684,2016
Chad,144,3.763,0.04952,0.391,52.0834,2.301458538,1656.383789,42.9501,0.695,1140,0.069559377,2016
Burkina Faso,145,3.739,0.12533,0.427,59.3262,1.602925003,1893.155373,39.15279412,0.613,331,0.181316919,2016
Uganda,145,3.739,0.06442,0.519,61.6479,5.563811567,2051.754604,27.91438,0.539,381,0.120817169,2016
Yemen,147,3.724,0.05892,0.467,66.0641,3,1494.230811,46.13765,0.81,165,0.383790495,2016
Madagascar,148,3.695,0.07506,0.505,64.9969,4.981364182,1507.431247,35.01448,0.556,348,0.13068015,2016
Tanzania,149,3.666,0.05099,0.524,65.3862,5.959358347,2387.090895,26.96013,0.567,539,0.204962447,2016
Liberia,150,3.622,0.04852,0.478,60.4162,4.668,1425.324418,42.87091,0.655,661,0.295958805,2016
Guinea,151,3.607,0.1192,0.45,58.7625,2.000424981,2213.959111,48.26536,0.62,621,0.233787673,2016
Rwanda,152,3.515,0.50521,0.524,65.7373,4.195574999,1897.461532,29.25386,0.4,260,0.088817839,2016
Benin,153,3.484,0.06681,0.53,59.5394,3.863223294,2935.45155,43.65639,0.618,408,0.607088094,2016
Afghanistan,154,3.36,0.07112,0.481,63.1361,2.463660385,2077.566899,45.36517,0.692,673,0.190616791,2016
Togo,155,3.303,0.11587,0.518,59.5501,4.636985989,1991.088196,38.87913,0.59,395,0.307112523,2016
Burundi,157,2.905,0.09419,0.43,60.7931,2.54513669,794.5204667,36.86809,0.514,558,0.044569053,2016
Norway,1,7.53700017929077,0.315963834524155,0.959,82.624,12.94715977,66403.54684,4.38463,0.023,2,8.377883083,2017
Denmark,2,7.52199983596802,0.40077006816864,0.944,81.1112,13.011765,56568.41589,3.01486,0.027,4,6.060962892,2017
Iceland,3,7.50400018692017,0.153526559472084,0.954,82.5352,13.4558567,53923.22172,2.79474,0.056,4,10.78042902,2017
Switzerland,4,7.49399995803833,0.367007285356522,0.957,83.4125,13.73318529,68167.80327,1.93114,0.034,5,4.515537494,2017
Finland,5,7.4689998626709,0.38261154294014,0.934,81.4976,12.73937988,47593.88701,2.27839,0.042,3,8.101813505,2017
Netherlands,6,7.3769998550415,0.282661825418472,0.937,81.7291,12.25356531,55507.09027,4.92932,0.029,5,9.55330386,2017
Canada,7,7.31599998474121,0.287371516227722,0.931,82.0192,13.76600456,47702.63749,2.521,0.083,10,15.50035194,2017
New Zealand,8,7.31400012969971,0.382816702127457,0.935,82.2189,13.2373023,40700.46491,1.840131778,0.112,9,7.625380846,2017
Sweden,9,7.28399991989136,0.384398728609085,0.941,82.4382,12.48604965,52849.39299,3.79204,0.035,4,4.300267262,2017
Australia,10,7.28399991989136,0.301183730363846,0.937,83.0006,12.42234039,47085.22714,3.043233164,0.096,6,16.87035228,2017
Israel,11,7.21299982070923,0.0852421000599861,0.917,82.7195,13.15115217,38924.31301,6.58256,0.094,3,7.141470828,2017
Costa Rica,12,7.0789999961853,0.100106589496136,0.807,79.3769,8.643780231,19283.51036,11.9393,0.307,27,1.679126715,2017
Austria,13,7.00600004196167,0.221060365438461,0.916,81.6391,12.15911961,53665.02668,2.9996,0.072,5,7.89112032,2017
United States of America,14,6.99300003051758,0.135638788342476,0.924,78.8213,13.42226505,61186.46283,2.915457403,0.209,19,16.01967242,2017
Ireland,15,6.97700023651123,0.29838815331459,0.934,81.9168,11.4341898,61729.40784,3.28604,0.086,5,8.232927207,2017
Germany,16,6.95100021362305,0.276731938123703,0.944,80.9442,14.10476494,54335.96281,2.7227,0.087,7,9.507597709,2017
Belgium,17,6.89099979400635,0.251343131065369,0.931,81.3618,12.23692989,50904.68909,7.68431,0.057,5,8.708432095,2017
Luxembourg,18,6.86299991607666,0.31883442401886,0.919,81.734,12.65323261,82296.95125,8.00368,0.058,5,15.64646652,2017
United Kingdom,19,6.71400022506714,0.265428066253662,0.93,81.1684,13.16133022,45771.00186,2.73404,0.117,7,5.808181432,2017
Chile,20,6.65199995040894,0.0822879821062088,0.853,80.3501,10.59051991,23458.6445,11.73821662,0.243,13,4.550297911,2017
United Arab Emirates,21,6.64799976348877,0.324489563703537,0.897,79.5036,12.05539989,67667.50846,14.47533507,0.112,3,17.79568752,2017
Brazil,22,6.63500022888184,0.111092761158943,0.759,74.8266,7.851759911,14253.07502,16.9775,0.421,60,2.40941389,2017
Argentina,24,6.59899997711182,0.059739887714386,0.851,76.833,11.01644516,22996.67142,6.20843,0.328,39,4.274395193,2017
Mexico,25,6.57800006866455,0.132774114608765,0.775,74.1378,8.742489815,19209.21915,14.11041542,0.336,33,3.685358728,2017
Singapore,26,6.57200002670288,0.46430778503418,0.935,83.2236,11.5461998,88088.26615,11.04336304,0.048,8,6.84395925,2017
Malta,27,6.52699995040894,0.153066068887711,0.901,83.5867,11.56434488,38304.2029,6.69493,0.188,6,3.560818664,2017
Uruguay,28,6.4539999961853,0.178061872720718,0.819,77.6247,8.831359863,21733.37205,6.63096,0.269,17,1.793204469,2017
Guatemala,29,6.4539999961853,0.0772232785820961,0.64,72.5506,5.74357605,8147.871684,34.95493,0.52,95,1.022283811,2017
Panama,30,6.4520001411438,0.070983923971653,0.811,77.7954,10.25965691,28606.48873,12.15230059,0.417,52,2.730126774,2017
France,31,6.44199991226196,0.172502428293228,0.898,82.4732,11.40970039,45584.57087,9.135,0.073,8,5.197140043,2017
Thailand,32,6.42399978637695,0.0316127352416515,0.79,78.3939,8.343885422,16642.45037,16.58373,0.419,37,4.131778429,2017
Spain,34,6.40299987792969,0.0709140971302986,0.897,83.0295,10.07671499,39543.65687,17.07892,0.068,4,5.887612925,2017
Qatar,35,6.375,0.439299255609512,0.849,80.7171,9.730019569,91499.86316,11.22725944,0.176,9,36.61180125,2017
Colombia,36,6.35699987411499,0.0466687418520451,0.761,76.6456,8.362985134,13912.22581,15.84659,0.427,83,1.76438528,2017
Saudi Arabia,37,6.3439998626709,0.27343225479126,0.86,77.1605,10.22029972,48041.17305,18.11940114,0.298,17,19.31586787,2017
Kuwait,39,6.10500001907349,0.215159550309181,0.835,79.7806,7.192820072,58767.65534,21.94016533,0.258,12,23.45716907,2017
Slovakia,40,6.09800004959106,0.0242108516395092,0.856,77.219,12.76618004,29516.49964,1.55613,0.193,5,6.613667652,2017
Bahrain,41,6.08699989318848,0.257042169570923,0.869,79.689,9.586489677,45033.83054,15.87218065,0.228,14,21.81361591,2017
Malaysia,42,6.08400011062622,0.0656007081270218,0.805,75.4763,10.45936012,25910.44685,12.06360206,0.242,29,8.055430047,2017
Nicaragua,43,6.07100009918213,0.130687981843948,0.659,73.5536,6.912,5694.054636,25.79903661,0.431,98,0.862072476,2017
Ecuador,44,6.00799989700317,0.140134647488594,0.762,76.9725,8.765919685,11346.37257,13.76572,0.376,59,2.339896056,2017
El Salvador,45,6.00299978256226,0.0899809598922729,0.674,72.3108,6.825099945,7984.420771,24.57277678,0.372,46,0.941715927,2017
Poland,46,5.97300004959106,0.0593078061938286,0.875,77.7205,13.04480243,28817.10086,5.20938,0.125,2,8.897351948,2017
Uzbekistan,47,5.97100019454956,0.246528223156929,0.715,71.0095,11.72383976,6974.358065,0.724853929,0.278,29,3.352750965,2017
Italy,48,5.96400022506714,0.0280280914157629,0.888,82.7282,10.47961998,41812.97134,10.97711,0.07,2,5.815532829,2017
Belize,50,5.95599985122681,0.0965810716152191,0.707,73.5624,9.339186096,6709.03456,14.81278,0.414,36,1.638107454,2017
Japan,51,5.92000007629395,0.163760736584663,0.922,84.1976,13.33075812,43040.54532,4.511,0.093,5,9.318411038,2017
Lithuania,52,5.90199995040894,0.0118656428530812,0.876,75.4399,13.18838978,32541.17287,4.27895,0.133,8,4.769710137,2017
Algeria,53,5.87200021743774,0.146096110343933,0.744,75.7428,7.940606186,11562.26587,33.68956,0.44,112,3.743383327,2017
Latvia,54,5.84999990463257,0.0738427266478539,0.86,74.8054,13.05903006,28601.52573,2.58293,0.204,19,3.69786843,2017
South Korea,55,5.83799982070923,0.0632826685905457,0.916,83.2855,12.31303351,41124.36929,8.836042338,0.08,11,12.83352462,2017
Moldova,56,5.83799982070923,0.0100912861526012,0.765,70.5155,11.8187631,12315.48679,2.759083599,0.242,19,1.285937526,2017
Romania,57,5.82499980926514,0.00438790069893,0.823,75.9519,11.14865017,26756.30966,5.3222,0.283,19,3.928117522,2017
Bolivia,58,5.82299995422363,0.0604777261614799,0.708,67.7015,9.396595001,8174.492977,19.30221,0.424,155,2.105075068,2017
Turkmenistan,59,5.82200002670288,0.259270340204239,0.741,68.9158,11.19282692,13615.49576,3.55428,0.184,7,12.19789196,2017
Kazakhstan,60,5.81899976730347,0.119282886385918,0.811,71.3958,12.07710298,22157.8711,3.16666,0.177,10,17.03034162,2017
Slovenia,62,5.75799989700317,0.0451289787888527,0.913,81.0714,12.70028973,35849.55565,2.17402,0.054,7,7.027519825,2017
Peru,63,5.71500015258789,0.0470490865409374,0.77,75.879,9.535280228,11931.12893,15.06621,0.404,88,1.708484635,2017
Mauritius,64,5.62900018692017,0.0421815551817417,0.805,74.8812,9.914224809,23536.24781,21.91298205,0.384,61,3.587191449,2017
Cyprus,65,5.62099981307983,0.0412379764020443,0.887,81.328,12.18473005,37163.37655,11.03766,0.105,6,6.377248707,2017
Estonia,66,5.61100006103516,0.183248922228813,0.887,77.976,13.55548,33040.70655,2.07606,0.106,9,14.24029286,2017
Belarus,67,5.56899976730347,0.156313821673393,0.817,74.4519,11.95291634,17666.60161,3.67781,0.111,2,6.361294237,2017
Turkey,69,5.5,0.0996715798974037,0.833,77.1408,8.268190384,27553.33891,13.64287582,0.311,17,5.243439524,2017
Paraguay,70,5.49300003051758,0.091065913438797,0.724,73.6436,8.468514919,12174.12219,13.30465,0.454,84,1.175641224,2017
Philippines,72,5.42999982833862,0.0993318930268288,0.704,71.5156,8.446499825,9016.762194,10.0958,0.423,121,1.282666618,2017
Serbia,73,5.39499998092651,0.0409037806093693,0.802,76.213,11.16240025,15538.46624,8.13663,0.138,12,5.156038284,2017
Jordan,74,5.33599996566772,0.11980327218771,0.718,75.5018,10.25772977,9953.727851,15.44186,0.436,46,2.612069292,2017
Hungary,75,5.32399988174438,0.0366369374096394,0.845,76.0055,11.97945499,28307.73017,3.19396,0.248,12,5.082548778,2017
Jamaica,76,5.31099987030029,0.0552677810192108,0.715,71.9114,8.970338495,9327.09002,5.60595,0.372,80,2.669601431,2017
Croatia,77,5.29300022125244,0.0431031100451946,0.852,78.0832,11.92040895,26760.92548,4.93405,0.13,8,4.474955754,2017
China,79,5.27299976348877,0.0227942746132612,0.747,77.2476,7.400021299,14224.86876,11.68,0.217,29,6.981215392,2017
Pakistan,80,5.26900005340576,0.124348066747189,0.543,66.2972,5.115049839,4495.95069,43.52795,0.543,140,1.125399771,2017
Indonesia,81,5.26200008392334,0.0153171354904771,0.704,69.9356,8.069094896,10589.12645,16.15374573,0.455,177,2.173337265,2017
Venezuela,82,5.25,0.0644911229610443,0.744,71.943,10.57076027,12321.887,8.67058997,0.481,125,5.49394058,2017
Montenegro,83,5.23699998855591,0.0881741940975189,0.83,76.9388,11.94692704,20086.50445,7.36696,0.124,6,3.351217328,2017
Azerbaijan,85,5.23400020599365,0.180987507104874,0.753,72.2478,10.54459953,13587.53119,3.56506161,0.311,26,3.730696412,2017
Dominican Republic,86,5.23000001907349,0.113945253193378,0.757,73.0629,8.936204255,15941.67145,15.70572,0.454,95,2.284472787,2017
Greece,87,5.22700023651123,0.04328977689147,0.88,80.8501,10.54285765,28461.45581,12.77045,0.129,3,7.08221336,2017
Lebanon,88,5.22499990463257,0.037513829767704,0.75,79.6543,8.609094987,15980.11283,6.177,0.462,29,4.102561922,2017
Portugal,89,5.19500017166138,0.0158694516867399,0.859,81.498,9.218230247,32269.04155,15.77579,0.077,8,5.368183414,2017
Bosnia and Herzegovina,90,5.18200016021729,0,0.772,76.9349,9.752649784,13638.41935,16.97493881,0.162,10,6.51020058,2017
Honduras,91,5.18100023269653,0.0733454525470734,0.617,72.6918,6.408294916,5221.810955,23.34274,0.424,65,0.939356007,2017
Nigeria,95,5.07399988174438,0.0261215660721064,0.526,52.3052,6.697552363,5031.603971,38.09476,0.67,917,0.597482379,2017
Tajikistan,96,5.04099988937378,0.146377146244049,0.665,69.9047,11.42107964,3728.067416,6.03825,0.28,17,0.885671468,2017
Bhutan,97,5.01100015640259,0.173380389809608,0.647,70.8472,4.058239937,10174.70961,48.22657529,0.473,183,1.661563141,2017
Kyrgyzstan,98,5.00400018692017,0.0394391790032387,0.696,70.5877,11.36215797,4803.232306,4.97927,0.38,60,1.510259005,2017
Nepal,99,4.96199989318848,0.0729755461215973,0.594,68.9099,4.808860316,3601.108877,40.881,0.469,186,0.42151176,2017
Mongolia,100,4.95499992370605,0.0329022891819477,0.732,70.2375,9.609121227,9773.631152,11.9202,0.326,45,11.00422444,2017
South Africa,101,4.8289999961853,0.0725094974040985,0.72,65.402,10.14218044,13475.98821,17.29413,0.407,119,8.142443199,2017
Tunisia,102,4.80499982833862,0.0867231488227844,0.74,75.8448,7.274176324,10906.88715,34.57692,0.262,43,2.556666439,2017
Egypt,104,4.7350001335144,0.114381365478039,0.721,71.3019,9.04570961,10801.02662,36.94291,0.438,37,2.598486803,2017
Bulgaria,105,4.71400022506714,0.0110515309497714,0.808,74.7992,11.24269962,20986.65463,6.32881,0.208,10,6.699426282,2017
Sierra Leone,106,4.70900011062622,0.0710951760411263,0.466,58.6517,4.335234901,1594.30889,46.92677,0.64,1120,0.121833395,2017
Cameroon,107,4.69500017166138,0.0513066314160824,0.571,60.8103,6.039564753,3597.973425,32.95967,0.578,529,0.31337935,2017
Iran,108,4.69199991226196,0.048761073499918,0.789,75.9712,10.42034294,14562.92467,4.984428444,0.455,16,8.828831259,2017
Albania,109,4.64400005340576,0.0398642159998417,0.802,79.0473,10.91069206,12802.14831,12.33344,0.17,15,1.838241795,2017
Bangladesh,110,4.60799980163574,0.123717859387398,0.622,71.7879,6.270249844,4339.489843,37.30855,0.534,173,0.506893478,2017
Namibia,111,4.57399988174438,0.0931469723582268,0.635,62.2931,7.089123245,9987.117622,25.01567,0.449,195,1.754824811,2017
Kenya,112,4.55299997329712,0.0646413192152977,0.572,62.4808,6.476,4126.283437,22.89552,0.515,342,0.325008539,2017
Mozambique,113,4.55000019073486,0.179436385631561,0.445,59.7709,3.064209938,1245.447702,40.5314308,0.544,289,0.290512575,2017
Myanmar,114,4.54500007629395,0.188816204667091,0.58,65.843,6.094084787,4109.517194,26.85272,0.513,250,0.463966456,2017
Senegal,115,4.53499984741211,0.115460447967052,0.509,67.7503,2.830689907,3114.304101,45.98846,0.531,315,0.69690334,2017
Zambia,116,4.51399993896484,0.0782135501503944,0.568,62.1201,6.930478048,3330.552717,21.73491,0.54,213,0.386694854,2017
Iraq,117,4.49700021743774,0.107215754687786,0.685,70.4126,7.860422708,10445.36711,30.63102,0.571,79,5.637481283,2017
Gabon,118,4.46500015258789,0.0760467872023582,0.706,66.1889,9.208,14058.19505,23.47992,0.549,252,2.226922114,2017
Ethiopia,119,4.46000003814697,0.165455713868141,0.48,64.8383,2.854597012,2009.557746,43.50563,0.525,401,0.143213448,2017
Sri Lanka,120,4.44000005722046,0.0736539661884308,0.771,75.4035,10.57874966,12250.94548,11.99693,0.372,36,1.090044733,2017
Armenia,121,4.37599992752075,0.0266744215041399,0.768,74.9059,11.18758965,12541.16263,2.93495,0.261,26,1.880133429,2017
India,122,4.31500005722046,0.0922268852591515,0.644,70.4672,6.452129304,6116.059654,38.66773,0.51,133,1.81810563,2017
Mauritania,123,4.29199981689453,0.136957004666328,0.545,65.0827,4.691063614,5035.931643,40.78516,0.625,766,0.833308037,2017
Georgia,125,4.28599977493286,0.251666635274887,0.8,73.5701,12.87436008,12924.2182,2.784805013,0.309,25,2.539341774,2017
Mali,127,4.19000005722046,0.104970246553421,0.426,59.1322,2.09,2173.555623,46.17695,0.676,562,0.190920371,2017
Ivory Coast,128,4.17999982833862,0.130061775445938,0.534,58.4805,5.013731346,4686.900473,45.60904,0.635,617,0.485336657,2017
Cambodia,129,4.16800022125244,0.0681059509515762,0.586,70.5153,4.844,3684.459668,27.30485,0.47,160,0.804208325,2017
Sudan,130,4.13899993896484,0.089847519993782,0.514,65.4447,3.72,4414.899983,42.45021,0.561,295,0.532053237,2017
Ghana,131,4.11999988555908,0.0253363698720932,0.616,64.0131,8.056260907,4863.976199,35.10167,0.538,308,0.471799753,2017
Ukraine,132,4.09600019454956,0.0230294708162546,0.782,74.7181,11.14765882,12032.75473,3.59926,0.26,19,5.014531092,2017
Uganda,133,4.08099985122681,0.057069718837738,0.52,62.115,5.619521567,2025.816431,27.91438,0.534,375,0.130530614,2017
Burkina Faso,134,4.03200006484985,0.120328105986118,0.438,59.5361,1.761222512,1967.634052,39.15279412,0.6,320,0.20516605,2017
Niger,135,4.02799987792969,0.138572946190834,0.39,62.1599,1.960548724,1206.403432,34.96483,0.637,509,0.092846243,2017
Malawi,136,3.97000002861023,0.0727116540074348,0.505,62.9769,4.303786674,1439.504186,28.42429,0.576,349,0.077203445,2017
Chad,137,3.93600010871887,0.0535818822681904,0.393,52.3076,2.388868544,1566.261072,42.9501,0.699,1140,0.068982955,2017
Zimbabwe,138,3.875,0.0953753814101219,0.594,60.7095,8.461689949,3728.918785,16.80576,0.532,458,0.673026099,2017
Lesotho,139,3.80800008773804,0.119094640016556,0.518,53.0636,5.83282906,3031.409555,21.91631,0.56,544,1.173731816,2017
Angola,140,3.79500007629395,0.0697203353047371,0.597,61.6798,5.417390823,6861.575738,34.17144,0.538,241,0.953168429,2017
Afghanistan,141,3.79399991035461,0.0611578300595284,0.482,63.016,2.561424686,2085.487571,45.36517,0.678,638,0.188995444,2017
Botswana,142,3.76600003242493,0.0985831990838051,0.722,66.7526,10.18,16144.88027,23.27683,0.468,144,3.201244399,2017
Benin,143,3.65700006484985,0.0609290152788162,0.53,59.8558,4.010411011,3010.902854,43.69355,0.615,397,0.620812267,2017
Madagascar,144,3.64400005340576,0.0672319754958153,0.507,65.0938,5.027301993,1541.173158,35.01448,0.554,335,0.16120522,2017
Haiti,145,3.6029999256134,0.0998721495270729,0.539,63.8538,5.402,3165.56974,37.33677,0.637,480,0.282634908,2017
Yemen,146,3.59299993515015,0.0567674227058887,0.459,65.9573,3,1302.425254,46.13765,0.808,164,0.357501876,2017
South Sudan,147,3.59100008010864,0.116793513298035,0.395,55.3094,5.726140022,888.762,39.55255,0.597,1150,0.133317899,2017
Liberia,148,3.53299999237061,0.0389482490718365,0.481,60.5535,4.806,1424.468657,42.87091,0.655,661,0.261918504,2017
Guinea,149,3.50699996948242,0.110937617719173,0.458,59.1093,2.064812481,2405.948119,48.26536,0.614,576,0.268406455,2017
Togo,150,3.49499988555908,0.0956650152802467,0.524,60.1544,4.763593115,2013.813455,37.72766,0.588,396,0.287082869,2017
Rwanda,151,3.47099995613098,0.455220013856888,0.526,65.9409,4.265272498,1913.034071,29.25386,0.393,248,0.08768078,2017
Tanzania,153,3.34899997711182,0.0660351067781448,0.528,65.9987,6.094134093,2472.985897,26.96013,0.563,524,0.208683301,2017
Burundi,154,2.90499997138977,0.0841479450464249,0.428,61.5526,2.804970026,772.4022889,39.48821,0.51,548,0.048988554,2017
Central African Republic,155,2.69300007820129,0.0565650761127472,0.398,53.7207,4.282,959.3100891,34.5496,0.691,829,0.047036318,2017
Finland,1,7.632,0.393,0.936,81.6266,12.80649996,48369.87096,2.23918,0.037,3,8.302103946,2018
Norway,2,7.594,0.34,0.962,82.7605,12.97539473,68999.19641,2.3324,0.018,2,8.330707487,2018
Denmark,3,7.555,0.408,0.942,80.99,12.86071014,57549.14584,2.90482,0.022,4,6.027753912,2018
Iceland,4,7.495,0.138,0.959,82.7703,13.59160824,56492.26004,2.20077,0.053,4,10.87988881,2018
Switzerland,5,7.487,0.357,0.959,83.5615,13.79969025,67771.6548,1.82879,0.032,5,4.324335229,2018
Netherlands,6,7.441,0.295,0.939,81.7741,12.32301044,56614.38413,5.3671,0.027,5,9.321459639,2018
Canada,7,7.328,0.291,0.933,82.0508,13.80017348,48156,2.521,0.073,10,15.62986503,2018
New Zealand,8,7.324,0.389,0.936,82.3803,13.13976479,41382.39849,1.840131778,0.102,9,7.545479979,2018
Sweden,9,7.314,0.383,0.942,82.5326,12.54788494,53050.91638,3.68669,0.031,4,4.221513055,2018
Australia,10,7.272,0.302,0.941,83.3871,12.55362034,47487.64407,3.056569899,0.092,6,16.70811553,2018
United Kingdom,11,7.19,0.082,0.929,81.1254,13.24292692,46225.87833,2.84785,0.112,7,5.687818316,2018
Austria,12,7.139,0.224,0.917,81.6862,12.20790482,54587.74445,2.91745,0.061,5,7.48650267,2018
Costa Rica,13,7.072,0.101,0.811,79.4835,8.72317028,19562.35999,11.58937,0.285,27,1.644623869,2018
Ireland,14,6.977,0.306,0.937,82.0863,11.50796839,64098.84282,3.28604,0.084,5,8.133994924,2018
Germany,15,6.965,0.28,0.945,81.1717,14.07738018,54981.27749,2.7227,0.083,7,9.072082766,2018
Belgium,16,6.927,0.24,0.933,81.4787,12.30630493,51249.2268,8.18013,0.053,5,8.72893627,2018
Luxembourg,17,6.91,0.321,0.922,81.8035,12.82510172,81398.52451,6.29069,0.074,5,15.8352986,2018
United States of America,18,6.886,0.133,0.927,78.9896,13.50162029,62626.32702,2.745849765,0.192,19,16.4339712,2018
Israel,19,6.814,0.272,0.919,82.8232,13.24765522,39620.10088,6.272,0.089,3,7.22376477,2018
Malta,22,6.627,0.142,0.91,83.3448,11.84057999,40070.42113,6.18818,0.184,6,3.502121808,2018
France,23,6.489,0.176,0.901,82.5909,11.50988007,46162.6579,9.48623,0.078,8,4.960291819,2018
Mexico,24,6.488,0.095,0.777,74.0146,8.933190346,19385.89225,13.48795481,0.323,33,3.608091424,2018
Chile,25,6.476,0.061,0.856,80.1334,10.76136507,23908.86388,11.73821662,0.207,13,4.506838534,2018
Panama,27,6.43,0.063,0.814,77.8629,10.4001236,28869.22802,11.37222672,0.412,52,2.56907746,2018
Brazil,28,6.419,0.088,0.764,75.1095,7.982019901,14258.48421,16.06656,0.401,60,2.309098502,2018
Argentina,29,6.388,0.054,0.85,76.9994,11.10470009,21924.73119,5.95181,0.315,39,4.082391913,2018
Guatemala,30,6.382,0.071,0.64,72.7257,5.712438107,8289.389866,34.95493,0.517,95,1.081085531,2018
Uruguay,31,6.379,0.155,0.819,77.611,8.906729698,21730.72567,6.52606,0.258,17,1.905032492,2018
Qatar,32,6.374,0.171,0.853,80.8982,9.86211879,89089.21103,11.22725944,0.171,9,38.43969224,2018
Saudi Arabia,33,6.371,0.127,0.865,77.2115,10.58370972,48123.7529,18.11940114,0.287,17,18.45406055,2018
Singapore,34,6.343,0.457,0.94,83.4576,11.74279022,86502.02095,10.00732115,0.049,8,7.989840728,2018
Malaysia,35,6.322,0.059,0.807,75.6444,10.55220985,26720.61992,12.06360206,0.225,29,8.634519001,2018
Spain,36,6.31,0.074,0.901,83.1436,10.1423502,40234.64314,16.86947,0.062,4,5.776330933,2018
Colombia,37,6.26,0.039,0.763,76.7479,8.504469872,13941.33097,15.27502,0.427,83,1.709196713,2018
Slovakia,39,6.173,0.014,0.859,77.264,12.86622047,30556.82948,1.55613,0.194,5,6.607263433,2018
El Salvador,40,6.167,0.082,0.68,72.5546,6.968569994,8136.126957,23.7938081,0.37,46,0.992283451,2018
Nicaragua,41,6.141,0.128,0.662,73.8497,7.028,5452.437413,25.79903661,0.431,98,0.816781252,2018
Poland,42,6.123,0.064,0.877,77.6282,13.08478498,30369.76617,4.93736,0.121,2,8.886554657,2018
Bahrain,43,6.105,0.123,0.879,79.8566,10.54808998,43818.92053,12.56789221,0.2,14,20.77771392,2018
Uzbekistan,44,6.096,0.259,0.72,71.1494,11.77458954,7303.472178,0.550110115,0.274,29,3.532803855,2018
Kuwait,45,6.083,0.106,0.836,79.7217,7.216040134,58030.87808,22.10817735,0.253,12,23.10082005,2018
