Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Austria,13,7.2,0.18676,Very High,25.0,0.91,81.1594,15.95141029,12.07699013,52450.23877,0.964,6.547001419,3.417464256,2.60756,13.61598,0.084,5.0,26.4,7.645373825,2015
Mexico,14,7.187,0.21312,High,86.0,0.768,74.6822,14.19680977,8.601650238,18777.73886,0.954,19.92822327,10.64861298,15.40212083,33.733936,0.349,36.0,9.81,3.955206712,2015
United States,15,7.119,0.1589,Very High,21.0,0.92,78.8694,16.1919899,13.25187969,59682.8778,0.99,11.56846516,5.777245522,3.03614997,25.892,0.219,18.0,28.33,16.74083424,2015
Brazil,16,6.983,0.17521,High,87.0,0.753,74.3325,15.36513042,7.506820202,14780.05656,0.989,22.35828303,10.4225111,18.04837,38.603968,0.437,63.0,19.04,2.58888062,2015
Luxembourg,17,6.946,0.37798,Very High,17.0,0.915,81.8384,14.06476974,12.45672989,74254.42678,0.984,9.092632552,2.971937656,9.35443,14.95153,0.067,5.0,51.55,16.49430692,2015
Ireland,18,6.94,0.28703,Very High,8.0,0.925,81.4163,18.70903015,11.28944651,55490.8464,0.975,8.166726657,3.507879972,2.87308,18.11922,0.109,6.0,27.92,8.315620349,2015
Belgium,19,6.937,0.2254,Very High,13.0,0.924,80.8898,19.76292038,11.89404011,50027.9913,0.972,7.951740222,3.594240665,8.0071,12.25388,0.063,5.0,29.32,8.952519237,2015
United Arab Emirates,20,6.901,0.38583,Very High,26.0,0.865,79.2232,13.30245607,10.67445625,65577.51224,0.922,,5.262248039,,,0.126,3.0,59.76,23.38178108,2015
United Kingdom,21,6.867,0.32067,Very High,18.0,0.924,80.9238,17.32865906,12.97976335,44136.35045,0.969,7.991175936,3.889007807,3.7586,16.32592,0.13,8.0,18.97,6.412680895,2015
Oman,22,6.853,0.32524,Very High,54.0,0.823,77.6869,14.26832962,9.547050476,33568.72682,0.936,13.01999595,7.022330284,11.94880067,20.08885691,0.341,19.0,22.63,14.49527904,2015
Venezuela,23,6.81,0.11069,Medium,120.0,0.767,73.0064,13.97333,9.641010284,17510.852,1.018,15.69998799,11.8163271,14.28363686,21.0,0.487,115.0,26.19,5.987807457,2015
Singapore,24,6.798,0.4921,Very High,12.0,0.93,82.8265,16.1,11.57108974,83968.19969,0.981,12.77239387,2.63675642,10.72002454,24.96040064,0.057,9.0,54.48,11.11028456,2015
Panama,25,6.786,0.0927,Very High,61.0,0.8,77.4684,12.70656967,9.978723526,26599.68394,1.001,20.71487466,11.89641666,12.51679831,37.731409,0.433,58.0,13.77,2.740994238,2015
Germany,26,6.75,0.21843,Very High,9.0,0.938,80.5742,16.78933907,14.08201981,52200.62642,0.969,7.864552521,3.526467562,2.60524,17.46195,0.078,5.0,20.06,9.727783167,2015
Chile,27,6.67,0.12869,Very High,42.0,0.846,79.746,16.36503983,10.25590992,23730.28359,0.965,15.3815291,5.946846962,11.98775734,28.209983,0.277,14.0,11.41,4.553558495,2015
Qatar,28,6.611,0.52208,Very High,42.0,0.846,80.0639,11.99582005,9.695640087,93931.58322,1.023,,5.077056885,13.59400339,,0.523,9.0,47.71,35.13156202,2015
France,29,6.575,0.20646,Very High,28.0,0.892,82.1857,15.42269993,11.33419037,44323.97472,0.988,8.604794103,3.921822309,8.23988,13.65268,0.097,8.0,20.15,5.118603886,2015
Argentina,30,6.574,0.08484,Very High,47.0,0.848,76.7602,17.40954971,10.91755009,23508.76738,1.0,13.43260217,8.435142517,6.33131,25.531354,0.345,41.0,17.85,4.466724129,2015
Uruguay,32,6.485,0.24558,Very High,58.0,0.811,77.4827,16.34380913,8.669449806,21439.38802,1.018,12.6965574,6.920399189,6.81665,24.352623,0.297,18.0,22.88,1.971126102,2015
Colombia,33,6.477,0.0512,High,88.0,0.754,76.2573,14.29211044,8.047450066,13901.52184,0.991,21.41873801,10.26842403,16.71489,37.2729,0.43,85.0,9.69,1.935271658,2015
Thailand,34,6.455,0.03187,Very High,66.0,0.781,77.7166,15.56759501,8.180100282,15445.28656,1.01,16.28933454,8.470013618,16.58373,23.81426,0.416,38.0,10.49,4.157602169,2015
Saudi Arabia,35,6.411,0.32524,Very High,35.0,0.859,76.9185,15.77921132,9.941319942,50124.98951,0.895,,6.308286667,18.60202657,,0.293,17.0,38.66,21.27767468,2015
Spain,36,6.329,0.06398,Very High,27.0,0.889,82.6464,17.47447014,9.912139893,37383.58643,0.981,14.9024746,2.966983795,19.19271,22.54773,0.074,4.0,15.75,5.821362504,2015
Malta,37,6.302,0.13586,Very High,23.0,0.889,82.9621,15.70611954,11.21442032,37716.50048,0.968,8.14531517,4.64556551,6.86637,12.92401,0.19,7.0,46.45,4.015601106,2015
Kuwait,39,6.295,0.25609,Very High,50.0,0.83,79.5624,14.69398022,7.072740078,61203.47424,1.005,,5.607057095,22.46443172,,0.316,11.0,55.47,23.81614724,2015
Suriname,40,6.269,0.13633,High,99.0,0.744,70.8003,12.90551852,9.372594479,18218.41659,1.001,23.06981103,12.86287308,19.02641,37.32015,0.442,122.0,,4.833110671,2015
Trinidad and Tobago,41,6.168,0.0114,Very High,57.0,0.816,74.5032,13.99219652,11.11478428,28684.3759,0.991,,12.20564938,9.71398,,0.349,68.0,,32.92766403,2015
El Salvador,42,6.13,0.11776,Medium,125.0,0.668,71.8143,12.56406608,6.623149872,7765.297992,0.981,20.34294446,11.55913448,25.17606289,24.293636,0.385,48.0,8.5,1.055362709,2015
Guatemala,43,6.123,0.09472,Medium,135.0,0.639,72.103,10.75267982,5.805851936,7932.534306,0.935,27.06318195,16.67461586,34.95493,29.56,0.522,103.0,5.06,0.973540632,2015
Uzbekistan,44,6.003,0.30826,High,101.0,0.701,70.4753,11.75932026,11.35682964,6485.233243,0.945,,11.74672413,0.757375436,,0.297,30.0,6.21,3.278808681,2015
Slovakia,45,5.995,0.03431,Very High,45.0,0.851,76.6493,14.67733955,12.63834,28268.82624,0.991,6.565352769,5.035268307,1.414,13.24679,0.191,6.0,21.54,6.330585467,2015
Japan,46,5.987,0.1806,Very High,19.0,0.918,83.8928,15.16511414,13.28011392,41874.21537,0.967,8.002617942,2.833964825,4.511,16.662889,0.115,5.0,20.3,9.558894626,2015
South Korea,47,5.984,0.07857,Very High,19.0,0.909,82.5605,16.60309982,12.11633015,38948.32998,0.934,9.331684265,3.109010458,8.836042338,16.05,0.096,12.0,21.49,12.49852306,2015
Ecuador,48,5.975,0.1809,High,95.0,0.765,76.7893,15.19845009,8.701580048,11685.75729,0.96,18.46835237,10.2771101,13.80548,31.322467,0.388,63.0,9.0,2.514146911,2015
Bahrain,49,5.96,0.306,Very High,35.0,0.858,79.4046,15.99201965,9.107093493,45441.14762,0.932,,5.145365715,22.1544907,,0.238,15.0,21.98,23.66882409,2015
Italy,50,5.948,0.02901,Very High,30.0,0.882,82.5255,16.03336906,10.3059597,39796.6249,0.968,11.59195236,3.056837082,10.45736,21.26166,0.079,2.0,13.16,5.964204062,2015
Bolivia,51,5.89,0.088,Medium,118.0,0.69,67.3182,13.97757244,8.929070473,7718.194007,0.945,24.87476648,20.16284943,19.81948,34.64197,0.439,168.0,11.12,1.957518724,2015
Moldova,52,5.889,0.01615,High,80.0,0.749,69.2396,14.06091022,11.76515007,10957.02179,1.016,7.680730001,9.845884323,2.759083599,10.43722208,0.264,22.0,3.8,1.1746874,2015
Paraguay,53,5.878,0.08242,High,105.0,0.723,73.1905,12.99628522,8.524069786,11388.39108,0.976,19.79271924,13.36590672,13.0255,32.986751,0.458,88.0,18.46,0.904653877,2015
Kazakhstan,54,5.855,0.08454,Very High,56.0,0.805,70.7265,15.11816025,11.81116962,23136.8885,0.997,7.372503663,8.610980988,3.16666,10.33987,0.214,12.0,44.26,16.42283959,2015
Slovenia,55,5.848,0.03787,Very High,23.0,0.903,80.8218,17.29199028,12.56729984,32738.32843,1.003,5.297672704,2.487548113,2.22941,11.17606,0.063,7.0,25.28,6.577253079,2015
Lithuania,56,5.833,0.01031,Very High,35.0,0.862,74.6103,16.4450798,12.95541,29301.09772,1.023,9.833627025,4.937591076,4.83441,19.72888,0.136,9.0,36.91,4.542989481,2015
Nicaragua,57,5.828,0.19317,Medium,126.0,0.647,72.983,11.82682458,6.68,5425.088815,0.96,22.82202139,11.97322655,25.79903661,30.693801,0.442,101.0,6.01,0.872584056,2015
Peru,58,5.824,0.05989,High,84.0,0.759,75.6206,14.65704384,9.094240189,11705.74373,0.951,17.97711358,9.982815742,15.28603,28.662495,0.425,94.0,9.58,1.610292683,2015
Belarus,59,5.813,0.1909,Very High,60.0,0.812,73.9874,15.56527996,11.76225224,17544.19914,1.014,6.238520487,4.199269772,3.67781,10.83848169,0.139,3.0,6.53,6.148416063,2015
Poland,60,5.791,0.04212,Very High,34.0,0.868,77.4151,16.01518949,12.92106485,26821.51433,1.006,8.979865441,4.459016323,5.09326,17.38732,0.134,2.0,17.55,8.240480859,2015
Malaysia,61,5.77,0.10501,Very High,62.0,0.797,75.0942,13.66390991,10.25508531,24113.72839,0.981,,5.997983932,15.55704832,,0.261,30.0,18.88,7.658953819,2015
Croatia,62,5.759,0.0243,Very High,40.0,0.843,77.5599,15.22484016,11.65574329,24734.00015,0.984,8.799965869,3.869197607,5.16336,17.36734,0.144,8.0,15.74,4.209244121,2015
Libya,63,5.754,0.11023,High,104.0,0.699,71.6982,13.0349622,7.31,10854.91959,0.975,,10.03298759,,,0.267,70.0,8.61,9.065229737,2015
Jamaica,65,5.709,0.02299,High,110.0,0.713,72.394,13.11725511,8.789758241,9184.322717,0.982,15.76560174,9.724695206,5.60595,31.96616,0.392,78.0,9.28,2.765597344,2015
Cyprus,67,5.689,0.06146,Very High,29.0,0.871,80.9665,14.57015038,11.86548042,34243.04912,0.98,10.67159578,2.801057339,11.70944,17.50429,0.117,7.0,32.32,6.003867406,2015
Algeria,68,5.605,0.17383,High,91.0,0.74,75.622,14.43048545,7.813979964,11421.66895,0.865,19.71380464,14.08821392,33.68956,11.36364,0.429,114.0,9.57,3.76769044,2015
Turkmenistan,70,5.548,0.30844,High,91.0,0.74,68.7816,12.37347138,11.12426385,14808.95608,0.957,,20.47649384,,,0.189,8.0,8.56,12.61938513,2015
Mauritius,71,5.477,0.07521,Very High,63.0,0.795,74.9754,15.05727005,9.425843626,21657.23264,0.957,16.37407554,9.028262138,21.91298205,18.18098242,0.396,73.0,,3.342633645,2015
Hong Kong,72,5.474,0.37124,Very High,4.0,0.935,84.2888,16.45096016,12.02414989,58445.62821,0.968,12.68014339,2.316095352,10.16161518,25.56271964,,,,5.899265739,2015
Estonia,73,5.429,0.15184,Very High,31.0,0.882,77.6563,16.11494064,13.48861027,30361.38783,1.026,9.123555044,3.908805132,2.46844,20.99342,0.13,10.0,39.23,12.05740026,2015
Indonesia,74,5.399,0.0,High,114.0,0.695,69.6989,13.33804035,7.914480209,9815.404496,0.929,17.21423623,15.76304531,18.62336339,17.2563,0.478,192.0,6.65,2.134330639,2015
Turkey,76,5.332,0.15746,Very High,48.0,0.817,76.646,17.32136917,7.958399773,25766.03064,0.919,15.2000525,7.927164078,14.59371053,23.07928288,0.335,19.0,18.16,4.855912006,2015
Kyrgyzstan,77,5.286,0.04232,Medium,118.0,0.69,69.9963,12.96702957,11.35021038,4632.765992,0.968,10.13757287,13.2594986,4.97927,12.17395,0.39,66.0,8.93,1.724902045,2015
Nigeria,78,5.268,0.0403,Low,163.0,0.516,51.8413,9.399784948,6.175595284,5356.223001,0.862,38.3021644,42.59401321,43.81248,28.5,0.676,931.0,3.8,0.626430378,2015
Bhutan,79,5.253,0.15445,Medium,127.0,0.627,70.3433,12.74369431,3.321951962,9370.597632,0.929,27.69934024,17.28672981,44.81067,21.00062092,0.498,203.0,32.34,1.325830224,2015
Azerbaijan,80,5.212,0.16065,High,91.0,0.748,71.4512,12.81493173,10.47585011,14405.94934,0.958,9.176522512,15.13292217,3.537645367,8.859,0.335,27.0,10.93,3.843892777,2015
Pakistan,81,5.194,0.10464,Low,161.0,0.534,65.6971,7.584290028,5.162640095,4207.010308,0.754,28.82363491,30.48697472,44.39953,11.5844,0.547,154.0,3.09,0.848690651,2015
Jordan,82,5.192,0.14293,High,102.0,0.718,75.0112,10.54055786,10.07138991,10032.8831,0.876,16.04079109,10.72959328,16.9017,20.49108,0.464,48.0,8.23,2.757890591,2015
Montenegro,82,5.192,0.14296,Very High,49.0,0.822,76.7561,14.92640305,11.7216987,18649.82217,0.968,8.15091644,3.471409321,7.36696,13.61438,0.146,6.0,,3.570744996,2015
China,84,5.14,0.02781,High,79.0,0.733,76.9771,13.47687006,7.199924151,12552.18518,0.971,15.47734655,7.361039639,11.68,27.391,0.224,30.0,21.29,7.000344465,2015
Zambia,85,5.129,0.12468,Medium,154.0,0.562,61.2078,10.92718161,6.673864603,3403.471444,0.95,32.82245969,28.17417908,21.73491,48.55829,0.567,232.0,3.36,0.321045664,2015
Romania,86,5.124,0.00649,Very High,53.0,0.813,74.7901,14.63422012,10.98408985,23639.21976,0.975,10.47308421,6.536002636,6.21994,18.66331,0.318,21.0,15.52,3.832413015,2015
Serbia,87,5.123,0.02617,Very High,63.0,0.794,75.8172,14.55158043,11.01756954,14858.915,0.973,12.38087812,4.511294365,9.26056,23.37078,0.159,13.0,15.09,4.928151287,2015
Portugal,88,5.102,0.01078,Very High,38.0,0.85,81.2093,16.44728088,8.986729622,30186.54091,0.985,13.7331681,3.41134429,17.49102,20.29714,0.08,9.0,13.33,5.043222399,2015
Latvia,89,5.098,0.06332,Very High,39.0,0.85,74.6854,15.83139992,12.87024021,25952.38949,1.027,9.653993686,4.960751057,3.7064,20.29483,0.227,23.0,29.74,3.635277828,2015
Philippines,90,5.073,0.12279,Medium,116.0,0.698,71.2684,12.82507992,8.796239853,8143.543154,0.979,18.1195748,16.0165844,11.5562,26.78594,0.43,127.0,7.77,1.09821636,2015
Morocco,92,5.013,0.08546,Medium,123.0,0.654,72.9197,12.81585178,5.38,6991.730986,0.844,,13.39918709,,,0.451,74.0,6.86,1.689019459,2015
Mozambique,94,4.971,0.15603,Low,185.0,0.44,58.1509,9.878950119,3.18881011,1240.456932,0.924,32.43742097,32.34246063,36.57526228,28.39454,0.54,318.0,3.51,0.233118835,2015
Albania,95,4.959,0.06413,High,67.0,0.795,78.6441,15.07629967,10.54743948,12016.2976,0.984,10.13333035,6.262598515,11.9,12.23739254,0.204,15.0,12.61,1.555329452,2015
Bosnia and Herzegovina,96,4.949,0.00227,High,74.0,0.761,76.1819,13.94284,9.291910172,12719.39655,0.92,15.23636483,4.450703144,21.09802134,20.16037,0.165,10.0,14.1,5.383072823,2015
Lesotho,97,4.898,0.12504,Low,168.0,0.503,51.1014,11.8165102,5.655473414,3046.013954,0.988,32.63370078,34.88479233,21.91631,41.1,0.558,574.0,,1.089061258,2015
Dominican Republic,98,4.885,0.14234,High,80.0,0.736,72.9531,14.0928297,7.718160152,14694.1036,1.004,22.05365594,18.50148582,17.87405,29.785432,0.471,94.0,9.13,2.285093487,2015
Mongolia,100,4.874,0.02666,High,96.0,0.732,69.4977,14.8045454,9.732735157,10239.78955,1.029,13.15812837,11.8541851,11.9202,15.7,0.336,47.0,14.64,7.751733485,2015
Greece,102,4.857,0.01397,Very High,33.0,0.88,80.6676,18.26951504,10.74370956,28208.72,0.973,12.59393648,3.697279453,13.28169,20.80284,0.122,3.0,17.81,7.032163043,2015
Lebanon,103,4.839,0.04582,High,112.0,0.746,79.2294,11.14674,8.499553974,16178.16274,0.892,,6.251280785,6.177,,0.464,29.0,15.45,3.93936453,2015
Hungary,104,4.8,0.02758,Very High,46.0,0.838,75.6517,15.21959972,11.84778976,26281.74257,0.985,7.543303375,4.417930126,2.95528,15.2567,0.247,12.0,13.55,4.767351921,2015
Honduras,105,4.788,0.06825,Medium,137.0,0.613,72.4871,9.911664501,6.294149876,4927.099416,0.986,23.54492954,11.60139561,23.37398,35.659413,0.424,67.0,4.13,1.075616191,2015
Tajikistan,106,4.786,0.15072,Medium,122.0,0.657,69.3059,11.47789213,11.34850794,3479.011645,0.901,12.52548177,18.8525753,6.54325,12.18062,0.329,18.0,4.73,0.62719215,2015
Tunisia,107,4.739,0.06358,High,97.0,0.733,75.6919,14.8910799,7.082895041,10793.65064,0.919,21.30876796,10.49514389,34.57692,18.85424,0.283,46.0,10.02,2.618240924,2015
Bangladesh,109,4.694,0.12569,Medium,129.0,0.602,70.4913,11.00469518,5.98582983,3936.276588,0.876,24.04444525,19.16786575,37.30855,15.65692,0.557,200.0,2.54,0.468955244,2015
Iran,110,4.686,0.05863,High,76.0,0.776,75.1239,14.87814045,10.21497011,12730.15472,0.866,11.51815856,9.873605728,4.966588065,19.71428189,0.514,17.0,11.06,8.008771316,2015
Ukraine,111,4.681,0.02961,High,77.0,0.774,73.4581,14.88242753,11.16389722,11671.55321,1.015,6.195736976,6.463228226,3.59926,8.524722702,0.283,21.0,9.47,4.98250075,2015
Iraq,112,4.677,0.13788,Medium,121.0,0.675,69.4403,11.565888,7.815446425,9859.834601,0.813,21.1252794,16.59769821,30.63102,16.14712,0.555,83.0,5.67,4.656619943,2015
South Africa,113,4.642,0.08884,High,109.0,0.716,63.9499,14.00878525,10.23357964,13694.72811,0.975,30.31205391,20.54657173,14.26559,56.124,0.427,125.0,8.06,8.135061467,2015
Ghana,114,4.633,0.04355,Medium,133.0,0.607,63.1752,11.55659962,7.782635119,4637.531298,0.912,28.82265286,26.22857857,34.92485,25.31453,0.554,320.0,3.33,0.578634112,2015
Zimbabwe,115,4.61,0.08079,Medium,146.0,0.582,59.5911,11.6023722,8.228876432,3638.532892,0.942,23.48181436,26.62341309,16.80576,27.01627,0.54,480.0,2.66,0.884989383,2015
Liberia,116,4.571,0.06232,Low,178.0,0.473,59.1485,10.05143706,4.53,1484.924981,0.846,33.2961671,34.2955513,42.87091,22.72204,0.66,691.0,3.62,0.269149842,2015
India,117,4.565,0.08492,Medium,132.0,0.629,69.6363,11.94699955,6.249149414,5401.490996,0.838,26.41276048,21.20155144,38.66773,19.369,0.525,158.0,4.76,1.731529473,2015
Sudan,118,4.55,0.1466,Low,172.0,0.508,64.6587,7.609839916,3.62,4531.578287,0.865,34.59734516,28.34182549,42.45021,33.0,0.572,320.0,9.4,0.518279462,2015
Haiti,119,4.518,0.17175,Low,163.0,0.529,63.2372,9.137,5.25,3110.377887,0.903,38.64215752,29.22977257,38.29759,48.39911,0.628,488.0,2.51,0.248767197,2015
Nepal,121,4.514,0.05907,Medium,143.0,0.579,67.4562,12.65250969,4.495927891,3376.943746,0.938,25.7940331,19.5791893,43.89112,13.91179,0.495,236.0,3.48,0.252329897,2015
Ethiopia,122,4.512,0.15048,Low,175.0,0.46,63.6492,8.918518663,2.57927413,1771.947958,0.889,27.22114505,27.83104515,44.335,9.49739,0.536,446.0,0.56,0.12588429,2015
Sierra Leone,123,4.507,0.08786,Low,181.0,0.453,57.189,9.321291966,4.094388518,1525.206701,0.88,35.93356411,41.28087234,47.29928,19.22054,0.647,1180.0,2.21,0.122101297,2015
Mauritania,124,4.436,0.17461,Medium,158.0,0.544,64.4847,9.02560997,4.463322338,4887.008709,0.872,31.48949996,29.07258987,40.78516,24.61075,0.635,785.0,4.58,0.722610602,2015
Kenya,125,4.419,0.05839,Medium,152.0,0.561,61.8922,10.52415263,6.3,3675.554026,0.929,26.44800702,23.30029106,22.89552,33.14821,0.532,353.0,5.08,0.340471315,2015
Djibouti,126,4.369,0.28105,Low,171.0,0.493,61.957,6.755274027,4.061892857,4453.630735,,,29.10373497,,27.74495175,,247.0,19.81,0.489216001,2015
Armenia,127,4.35,0.039,High,85.0,0.766,74.4361,12.96794987,11.57221031,11774.34934,0.986,8.935868375,8.868245125,3.685,14.25436,0.309,28.0,6.5,1.869492708,2015
Botswana,128,4.332,0.12474,Medium,117.0,0.702,63.8183,12.32254684,10.02,15177.91893,0.981,,23.66824913,23.27683,,0.489,156.0,15.29,2.558051149,2015
Myanmar,129,4.307,0.19034,Medium,149.0,0.562,65.5613,9.999287605,5.811369513,3504.411587,0.947,16.52566571,24.29196358,19.44,5.845033545,0.493,246.0,2.45,0.419673411,2015
Georgia,130,4.297,0.38331,Very High,63.0,0.79,73.2972,14.46463966,12.71645498,12334.6582,0.986,12.19435097,7.493968487,3.139084436,25.95,0.355,27.0,11.64,2.422106549,2015
Malawi,131,4.292,0.06977,Low,169.0,0.491,61.3781,11.76160417,4.117877962,1425.185701,0.95,28.4697992,24.6945076,28.21397,32.50092,0.585,370.0,1.54,0.066872484,2015
Sri Lanka,132,4.271,0.09179,High,73.0,0.764,74.9275,13.87385337,10.46438163,11600.29333,0.964,,6.52655077,,,0.389,36.0,6.2,0.948453912,2015
Cameroon,133,4.252,0.05786,Medium,151.0,0.56,59.658,12.15102959,5.927817964,3522.297048,0.874,33.96897874,33.08254623,32.95967,35.86472,0.582,554.0,1.91,0.332478223,2015
Bulgaria,134,4.218,0.00872,High,68.0,0.809,74.6325,14.94668007,11.18832016,19798.96986,0.992,11.35791836,5.937725067,6.7133,21.42273,0.218,10.0,19.12,6.705185645,2015
Egypt,135,4.194,0.06324,High,97.0,0.706,70.4831,12.93128538,8.567844217,10382.27283,0.903,28.82812072,13.03845215,36.94291,36.503,0.563,39.0,6.84,2.370849864,2015
Yemen,136,4.077,0.07854,Low,183.0,0.477,65.8734,9.09871006,3.0,1785.788608,0.547,31.45663585,26.42902756,46.13765,21.80323,0.815,169.0,3.39,0.483295103,2015
Angola,137,4.033,0.07122,Medium,148.0,0.582,60.6546,11.6497,4.704040408,7652.656486,0.893,32.04023511,33.00392532,34.17144,28.94534,0.53,251.0,3.59,1.205735928,2015
Mali,138,3.995,0.12352,Low,186.0,0.416,58.3632,7.347839832,1.87,2091.013072,0.869,32.94161147,37.28556442,46.17695,15.36232,0.659,620.0,2.9,0.187547545,2015
Comoros,140,3.956,0.199,Medium,156.0,0.544,62.8956,11.37745339,4.783355624,2970.772257,0.877,44.25407539,29.13446617,47.61438,56.01338,,285.0,,0.230942189,2015
Uganda,141,3.931,0.07267,Low,166.0,0.517,61.0856,10.66294882,5.508101567,2028.218794,0.911,25.78655142,24.69415855,29.37211,23.29338571,0.542,387.0,2.25,0.118392318,2015
Senegal,142,3.904,0.10713,Low,170.0,0.505,66.8794,9.270440102,2.806589961,2903.302557,0.887,31.30863579,22.25577736,45.28813,26.382,0.535,346.0,4.33,0.675338868,2015
Gabon,143,3.896,0.11091,High,112.0,0.699,65.4599,12.68911053,8.98,14167.7361,0.909,22.26753232,22.91137695,23.47992,20.4113,0.557,261.0,14.44,2.705466898,2015
Niger,144,3.845,0.15639,Low,189.0,0.376,61.0827,5.918089867,1.80438015,1187.645526,0.819,28.22722813,33.28295517,34.96483,16.43389921,0.656,555.0,4.49,0.10174154,2015
Cambodia,145,3.819,0.07247,Medium,146.0,0.574,69.8725,11.23635395,4.6,3329.290811,0.916,19.9613707,18.2371521,27.30485,14.34211,0.484,178.0,4.92,0.549337059,2015
Tanzania,146,3.781,0.05747,Low,160.0,0.52,64.6507,8.528679848,5.827563254,2310.042875,0.936,25.57038373,25.48297119,28.49972,22.72846,0.569,556.0,1.74,0.206644443,2015
Madagascar,147,3.681,0.08124,Low,173.0,0.504,64.339,10.56871033,4.935426371,1494.630382,0.955,27.43909685,26.86453056,35.01448,20.43828,0.559,363.0,2.04,0.133328723,2015
Central African Republic,148,3.678,0.08289,Low,188.0,0.384,52.793,7.335162868,4.23,869.8259183,0.788,41.46525567,40.651577,34.5496,49.19459,0.68,912.0,2.07,0.039958426,2015
Chad,149,3.667,0.05269,Low,190.0,0.389,51.5888,7.349349976,2.217246912,1803.785358,0.763,38.05304796,42.80904388,42.9501,28.4,0.697,1160.0,8.02,0.049373626,2015
Guinea,150,3.656,0.12139,Low,182.0,0.44,58.1336,9.163121769,1.936037481,2053.403321,0.838,34.58975188,38.44763565,48.26536,17.05626,0.63,699.0,4.3,0.214414025,2015
Ivory Coast,151,3.655,0.17922,Medium,159.0,0.513,57.7624,8.892459869,4.828323715,4322.056408,0.858,35.4974109,33.99146271,45.11142,27.38935,0.648,658.0,3.57,0.40495316,2015
Burkina Faso,152,3.587,0.12832,Low,184.0,0.418,58.8454,8.258930206,1.444627494,1839.270697,0.886,30.67067532,35.5474968,39.15279412,17.31173505,0.619,343.0,4.03,0.182042319,2015
Afghanistan,153,3.575,0.09719,Low,180.0,0.478,62.6587,10.18014979,2.365896084,2101.589319,0.673,,30.17712593,45.36517,,0.706,701.0,1.62,0.229679525,2015
