Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Switzerland,1,7.587,0.41978,Very High,1.0,0.954,82.8468,16.19400978,13.71187973,70410.26815,0.97,6.080309395,3.678838968,2.366899217,12.19519,0.039,5.0,33.83,4.668199391,2015
Iceland,2,7.561,0.14145,Very High,3.0,0.945,82.3508,19.34770012,13.18435363,48904.51421,0.974,5.62169343,2.638380289,2.55416,11.67254,0.063,4.0,74.87,10.70787269,2015
Denmark,3,7.527,0.48357,Very High,6.0,0.936,80.738,19.23700905,12.63831997,54690.48924,0.978,6.731853188,3.599749565,4.33284,12.26297,0.035,4.0,24.7,6.188361303,2015
Norway,4,7.522,0.36503,Very High,2.0,0.953,82.2718,17.78388977,12.77120972,66756.61403,0.993,6.363238333,2.842694998,5.26284,10.98418,0.04,3.0,36.13,8.772584366,2015
Canada,5,7.427,0.32957,Very High,15.0,0.926,81.9246,15.89140034,13.69808826,46417.51312,0.984,8.284094985,4.404284954,2.696,17.752,0.103,11.0,34.42,15.90658544,2015
Finland,6,7.406,0.41372,Very High,11.0,0.93,81.4178,19.31862068,12.63366985,45628.12268,0.989,4.905339856,2.716499567,1.98233,10.01719,0.054,3.0,36.9,8.05059621,2015
Netherlands,7,7.378,0.31814,Very High,10.0,0.932,81.4821,18.08009911,12.13512993,52989.64531,0.965,6.842539704,3.300259113,4.56792,12.65944,0.033,6.0,31.34,9.69388728,2015
Sweden,8,7.364,0.43844,Very High,7.0,0.937,82.1834,18.5685997,12.35441017,51490.20301,0.991,6.750567009,2.954761028,3.51567,13.78127,0.039,4.0,29.11,4.465214876,2015
New Zealand,9,7.286,0.42922,Very High,13.0,0.931,81.9765,18.86964989,13.23099995,38628.37835,0.963,7.536348735,4.387159348,1.772488496,16.44939836,0.136,10.0,32.59,7.816892374,2015
Australia,10,7.284,0.35637,Very High,5.0,0.933,82.6552,23.08892059,12.2456398,46307.57617,0.963,7.837651988,3.495991945,2.72096402,17.296,0.111,6.0,46.91,16.85069952,2015
Israel,11,7.278,0.07785,Very High,22.0,0.909,82.0999,16.17112923,12.9602499,36704.39549,0.977,10.98914469,3.378642082,6.604792,22.984,0.104,3.0,28.57,7.893085032,2015
Costa Rica,12,7.226,0.10583,Very High,58.0,0.798,79.0857,15.23608017,8.584500313,18327.60822,0.98,17.35723118,6.234734535,11.91329,33.923669,0.31,28.0,15.66,1.527702028,2015
