Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Finland,1,7.632,0.393,Very High,11.0,0.936,81.6266,19.47599983,12.80649996,48369.87096,0.989,5.185842444,2.980477333,2.23918,10.33787,0.037,3.0,37.83,8.302103946,2018
Norway,2,7.594,0.34,Very High,2.0,0.962,82.7605,18.12005043,12.97539473,68999.19641,0.99,5.539880141,2.749960423,2.3324,11.53728,0.018,2.0,36.73,8.330707487,2018
Denmark,3,7.555,0.408,Very High,6.0,0.942,80.99,18.79369926,12.86071014,57549.14584,0.983,5.774428536,3.532225609,2.90482,10.88624,0.022,4.0,25.98,6.027753912,2018
Iceland,4,7.495,0.138,Very High,3.0,0.959,82.7703,19.17563057,13.59160824,56492.26004,0.98,4.720369837,2.446269512,2.20077,9.51407,0.053,4.0,67.8,10.87988881,2018
Switzerland,5,7.487,0.357,Very High,1.0,0.959,83.5615,16.41327095,13.79969025,67771.6548,0.966,6.644360304,3.328620911,1.82879,14.77567,0.032,5.0,30.44,4.324335229,2018
Netherlands,6,7.441,0.295,Very High,10.0,0.939,81.7741,18.5599308,12.32301044,56614.38413,0.952,6.843680222,3.373560667,5.3671,11.79038,0.027,5.0,33.03,9.321459639,2018
Canada,7,7.328,0.291,Very High,15.0,0.933,82.0508,16.22464943,13.80017348,48156.0,0.987,8.029487911,4.490463734,2.521,17.077,0.073,10.0,35.84,15.62986503,2018
New Zealand,8,7.324,0.389,Very High,13.0,0.936,82.3803,18.87854958,13.13976479,41382.39849,0.974,7.457803362,4.083879948,1.840131778,16.44939836,0.102,9.0,30.64,7.545479979,2018
Sweden,9,7.314,0.383,Very High,7.0,0.942,82.5326,19.69101906,12.54788494,53050.91638,0.985,6.332109729,2.728509188,3.68669,12.58113,0.031,4.0,27.44,4.221513055,2018
Australia,10,7.272,0.302,Very High,5.0,0.941,83.3871,20.5092392,12.55362034,47487.64407,0.976,7.869846953,3.426970959,3.056569899,17.126,0.092,6.0,47.7,16.70811553,2018
United Kingdom,11,7.19,0.082,Very High,18.0,0.929,81.1254,17.24805069,13.24292692,46225.87833,0.972,8.231075037,3.875785112,2.84785,17.96959,0.112,7.0,18.01,5.687818316,2018
Austria,12,7.139,0.224,Very High,25.0,0.917,81.6862,16.06674957,12.20790482,54587.74445,0.966,6.480915127,3.131075382,2.91745,13.39422,0.061,5.0,25.39,7.48650267,2018
Costa Rica,13,7.072,0.101,Very High,58.0,0.811,79.4835,15.8667202,8.72317028,19562.35999,0.981,16.96765887,5.846722603,11.58937,33.466884,0.285,27.0,14.02,1.644623869,2018
Ireland,14,6.977,0.306,Very High,8.0,0.937,82.0863,19.75616074,11.50796839,64098.84282,0.978,7.009954211,3.038282633,3.28604,14.70554,0.084,5.0,37.25,8.133994924,2018
Germany,15,6.965,0.28,Very High,9.0,0.945,81.1717,16.93209076,14.07738018,54981.27749,0.974,7.316227988,3.490633965,2.7227,15.73535,0.083,7.0,20.23,9.072082766,2018
Belgium,16,6.927,0.24,Very High,13.0,0.933,81.4787,19.5610199,12.30630493,51249.2268,0.974,7.649995799,3.767567396,8.18013,11.00229,0.053,5.0,34.48,8.72893627,2018
Luxembourg,17,6.91,0.321,Very High,17.0,0.922,81.8035,14.31532001,12.82510172,81398.52451,0.989,9.583785535,3.775586605,6.29069,18.68508,0.074,5.0,42.21,15.8352986,2018
United States,18,6.886,0.133,Very High,21.0,0.927,78.9896,16.28334999,13.50162029,62626.32702,0.992,11.49431139,5.717084408,2.745849765,26.02,0.192,19.0,29.14,16.4339712,2018
Israel,19,6.814,0.272,Very High,22.0,0.919,82.8232,16.1252594,13.24765522,39620.10088,0.98,10.91367367,3.335021019,6.272,23.134,0.089,3.0,29.83,7.22376477,2018
United Arab Emirates,20,6.774,,Very High,26.0,0.909,79.6274,15.01912022,12.48400021,67195.09523,0.948,,4.916705608,12.63435527,,0.103,3.0,65.97,16.01124042,2018
Malta,22,6.627,0.142,Very High,23.0,0.91,83.3448,16.58428001,11.84057999,40070.42113,0.978,7.782198572,4.573385715,6.18818,12.58503,0.184,6.0,38.82,3.502121808,2018
France,23,6.489,0.176,Very High,28.0,0.901,82.5909,15.74300957,11.50988007,46162.6579,0.99,8.940650906,3.970052719,9.48623,13.36567,0.078,8.0,17.61,4.960291819,2018
Mexico,24,6.488,0.095,High,86.0,0.777,74.0146,14.8653698,8.933190346,19385.89225,0.963,17.78961896,10.08201408,13.48795481,29.798888,0.323,33.0,10.89,3.608091424,2018
Chile,25,6.476,0.061,Very High,42.0,0.856,80.1334,16.58595085,10.76136507,23908.86388,0.968,15.30051001,5.890266418,11.73821662,28.273047,0.207,13.0,13.32,4.506838534,2018
Panama,27,6.43,0.063,Very High,61.0,0.814,77.8629,13.0069239,10.4001236,28869.22802,1.007,19.6397955,11.43046379,11.37222672,36.116696,0.412,52.0,14.53,2.56907746,2018
Brazil,28,6.419,0.088,High,87.0,0.764,75.1095,15.70306015,7.982019901,14258.48421,0.99,22.53255959,9.894664764,16.06656,41.636454,0.401,60.0,18.28,2.309098502,2018
Argentina,29,6.388,0.054,Very High,47.0,0.85,76.9994,17.65617943,11.10470009,21924.73119,1.0,13.39046178,7.813666344,5.95181,26.405909,0.315,39.0,16.88,4.082391913,2018
Guatemala,30,6.382,0.071,Medium,135.0,0.64,72.7257,10.61000776,5.712438107,8289.389866,0.925,26.62952431,15.37364292,34.95493,29.56,0.517,95.0,7.07,1.081085531,2018
Uruguay,31,6.379,0.155,Very High,58.0,0.819,77.611,16.72912025,8.906729698,21730.72567,1.019,11.98803591,5.892225742,6.52606,23.545822,0.258,17.0,19.09,1.905032492,2018
Qatar,32,6.374,0.171,Very High,42.0,0.853,80.8982,12.02342987,9.86211879,89089.21103,1.023,,4.415297508,11.22725944,,0.171,9.0,33.57,38.43969224,2018
Saudi Arabia,33,6.371,0.127,Very High,35.0,0.865,77.2115,15.67512989,10.58370972,48123.7529,0.91,,5.74941206,18.11940114,,0.287,17.0,28.79,18.45406055,2018
Singapore,34,6.343,0.457,Very High,12.0,0.94,83.4576,16.51959038,11.74279022,86502.02095,0.986,12.48718622,2.49383688,10.00732115,24.96040064,0.049,8.0,47.32,7.989840728,2018
Malaysia,35,6.322,0.059,Very High,62.0,0.807,75.6444,13.54508018,10.55220985,26720.61992,0.98,,6.079515934,12.06360206,,0.225,29.0,19.35,8.634519001,2018
Spain,36,6.31,0.074,Very High,27.0,0.901,83.1436,17.75741005,10.1423502,40234.64314,0.984,12.9794516,2.961744785,16.86947,19.10714,0.062,4.0,13.99,5.776330933,2018
Colombia,37,6.26,0.039,High,88.0,0.763,76.7479,14.39857006,8.504469872,13941.33097,0.992,20.43648196,9.588564873,15.27502,36.445861,0.427,83.0,8.81,1.709196713,2018
Slovakia,39,6.173,0.014,Very High,45.0,0.859,77.264,14.48058033,12.86622047,30556.82948,0.991,5.907522059,4.836366177,1.55613,11.33007,0.194,5.0,18.96,6.607263433,2018
El Salvador,40,6.167,0.082,Medium,125.0,0.68,72.5546,12.71449047,6.968569994,8136.126957,0.981,19.02430375,10.84712315,23.7938081,22.43198,0.37,46.0,5.93,0.992283451,2018
Nicaragua,41,6.141,0.128,Medium,126.0,0.662,73.8497,12.43261063,7.028,5452.437413,0.957,22.46913296,10.91456127,25.79903661,30.693801,0.431,98.0,5.65,0.816781252,2018
Poland,42,6.123,0.064,Very High,34.0,0.877,77.6282,16.02598953,13.08478498,30369.76617,1.006,7.477034607,4.348323822,4.93736,13.14542,0.121,2.0,17.78,8.886554657,2018
Bahrain,43,6.105,0.123,Very High,35.0,0.879,79.8566,16.25481987,10.54808998,43818.92053,0.928,,4.872650623,12.56789221,,0.2,14.0,24.62,20.77771392,2018
Uzbekistan,44,6.096,0.259,High,101.0,0.72,71.1494,12.25255966,11.77458954,7303.472178,0.945,,9.973817825,0.550110115,,0.274,29.0,6.24,3.532803855,2018
Kuwait,45,6.083,0.106,Very High,50.0,0.836,79.7217,15.16432838,7.216040134,58030.87808,1.011,,5.528513432,22.10817735,,0.253,12.0,61.33,23.10082005,2018
Thailand,46,6.072,0.029,Very High,66.0,0.795,78.6622,15.72975941,8.372150421,17218.95408,1.011,16.02295884,7.670886517,16.58373,23.81426,0.405,37.0,11.32,3.97786481,2018
Italy,47,6.0,0.028,Very High,30.0,0.893,83.1847,16.17503929,10.56645012,42450.93247,0.967,11.6091278,3.049903393,10.60056,21.17692,0.057,2.0,12.33,5.756819977,2018
Ecuador,48,5.973,0.12,High,95.0,0.762,77.0938,14.83316994,8.782986323,11242.31215,0.965,18.03465514,9.583942413,13.89605,30.623973,0.375,59.0,7.86,2.219539066,2018
Belize,49,5.956,0.089,Medium,123.0,0.706,73.7031,13.14904976,9.175324059,6699.038968,0.967,20.47975572,8.700157166,14.81278,37.92633,0.415,36.0,12.0,1.578193076,2018
Lithuania,50,5.952,0.006,Very High,35.0,0.88,75.6767,16.56925011,13.29162661,33963.01256,1.02,9.431821578,4.292464733,3.88094,20.12206,0.128,8.0,38.38,4.889292834,2018
Slovenia,51,5.948,0.051,Very High,23.0,0.917,81.3581,17.59638023,12.75198507,37411.31252,1.002,4.361374983,2.371274948,2.12184,8.59101,0.074,7.0,24.63,6.975282469,2018
Romania,52,5.945,0.001,Very High,53.0,0.827,76.1546,14.27499962,11.21188498,27979.14701,0.995,11.15464332,5.610919952,5.33215,22.52086,0.282,19.0,15.45,3.978690989,2018
Latvia,53,5.933,0.066,Very High,39.0,0.866,75.0012,16.23089027,13.18325043,29894.57755,1.03,8.722720894,4.306402683,2.53011,19.33165,0.155,19.0,31.52,4.07548203,2018
Japan,54,5.915,0.15,Very High,19.0,0.923,84.2971,15.1905,13.34510708,43086.85266,0.97,7.960943963,2.70894289,4.511,16.662889,0.087,5.0,18.89,8.98929399,2018
Mauritius,55,5.891,0.05,Very High,63.0,0.811,74.9194,15.11495162,10.16782419,24767.93351,0.966,16.49399786,9.388029099,21.91298205,18.18098242,0.38,61.0,,3.56222651,2018
Jamaica,56,5.89,0.031,High,110.0,0.716,71.793,13.332418,9.062015112,9365.908524,0.993,15.92864997,9.303999901,6.51579,31.96616,0.366,80.0,9.56,2.739086569,2018
South Korea,57,5.875,0.051,Very High,19.0,0.919,83.3427,16.49395943,12.41257949,42115.21132,0.941,9.278031448,2.868052006,8.836042338,16.13,0.078,11.0,21.65,13.12504023,2018
Kazakhstan,60,5.79,0.121,Very High,56.0,0.814,71.4717,15.44011021,12.21006966,22171.8375,1.0,7.05693903,7.66428709,3.16666,10.33987,0.173,10.0,32.72,17.31912205,2018
Cyprus,61,5.762,0.035,Very High,29.0,0.892,81.382,15.35606003,12.28287983,38543.68022,0.974,8.757786287,2.704918861,10.47803,13.09041,0.11,6.0,33.71,6.172131527,2018
Bolivia,62,5.752,0.054,Medium,118.0,0.714,67.748,15.01584721,9.630357265,8443.883853,0.954,22.00888558,19.32530975,17.56781,29.133537,0.419,155.0,11.17,2.101250914,2018
Estonia,63,5.739,0.174,Very High,31.0,0.891,78.1395,15.91049004,13.65631008,34552.40442,1.025,6.630156973,3.26402092,2.28057,14.34588,0.103,9.0,36.99,13.56431228,2018
Paraguay,64,5.681,0.074,High,105.0,0.727,73.5676,12.75262838,8.585579872,12402.40912,0.981,18.96185,12.29504299,13.30079,31.289717,0.452,84.0,18.12,1.22327764,2018
Peru,65,5.663,0.034,High,84.0,0.776,76.0089,15.18792464,9.755800247,12142.66015,0.951,17.03147192,9.187319756,14.59567,27.311426,0.403,88.0,9.24,1.708357743,2018
Moldova,67,5.64,0.0,High,80.0,0.768,70.4916,14.39253044,11.84556961,12952.69015,1.015,7.471397576,9.406876564,2.570094084,10.43722208,0.241,19.0,3.55,1.3408132,2018
Turkmenistan,68,5.636,0.037,High,91.0,0.746,68.7963,12.84999236,11.22710846,14804.54893,0.957,16.98820671,20.61034012,3.55428,26.8,0.183,7.0,12.84,12.0403678,2018
Hungary,69,5.62,0.022,Very High,46.0,0.849,76.2039,15.12946033,12.06949997,29638.3262,0.986,6.960471012,3.831593037,3.11063,13.93919,0.229,12.0,14.75,5.089673458,2018
Libya,70,5.566,0.148,High,104.0,0.722,72.7938,12.789937,7.56,15526.25699,0.974,,8.82930851,,,0.262,72.0,15.55,7.989972088,2018
Philippines,71,5.524,0.105,Medium,116.0,0.71,71.689,13.19219971,8.707799911,9414.447797,0.983,17.84550973,15.3452692,10.0958,28.09546,0.422,121.0,8.39,1.318859461,2018
Honduras,72,5.504,0.074,Medium,137.0,0.617,72.8141,9.838728904,6.287879944,5248.923663,0.986,23.12719462,10.73721886,22.44937,36.194995,0.426,65.0,6.18,1.04823749,2018
Belarus,73,5.483,0.154,Very High,60.0,0.818,74.5676,15.40478992,12.04824839,18282.24546,1.008,6.075658743,3.710684538,3.67781,10.83848169,0.105,2.0,6.75,6.449198143,2018
Turkey,74,5.483,0.109,Very High,48.0,0.839,77.5631,18.15805054,8.450664997,28148.5516,0.936,14.49614883,6.766287804,13.64287582,23.07928288,0.286,17.0,17.43,5.093957393,2018
Pakistan,75,5.472,0.113,Low,161.0,0.545,66.482,8.275939941,4.825690031,4657.880392,0.767,29.84120504,28.76150513,43.52795,17.23416,0.542,140.0,3.54,1.122875299,2018
Hong Kong,76,5.43,0.291,Very High,4.0,0.949,85.2456,16.92947006,12.19762993,63907.66372,0.976,12.49644021,2.17196846,9.754632522,25.56271964,,,,5.797553627,2018
Portugal,77,5.41,0.017,Very High,38.0,0.86,81.3947,16.72011948,9.144709587,33134.17013,0.991,11.68673586,3.58634758,14.96519,16.50867,0.074,8.0,12.34,5.020615349,2018
Serbia,78,5.398,0.043,Very High,63.0,0.808,76.5115,14.73746967,11.26613522,16565.63064,0.977,11.80071635,4.27177906,7.47189,23.65848,0.132,12.0,15.21,5.028085529,2018
Greece,79,5.358,0.044,Very High,33.0,0.886,81.3907,19.50020027,10.83141518,28566.21672,0.969,10.68209766,3.531682968,11.06794,17.44667,0.127,3.0,14.94,6.824350999,2018
Lebanon,80,5.358,0.136,High,112.0,0.75,79.729,11.28587,8.663865494,15586.30415,0.89,,5.713357449,6.177,,0.434,29.0,13.1,3.870771355,2018
Montenegro,81,5.347,0.081,Very High,49.0,0.834,77.1595,14.99967957,12.06115893,20925.34711,0.968,9.232856775,2.959510326,7.81501,16.92405,0.124,6.0,,3.822659439,2018
Croatia,82,5.321,0.039,Very High,40.0,0.856,78.337,15.18179035,12.05498697,27784.40613,0.995,7.597601969,3.748035908,4.67412,14.37065,0.125,8.0,16.81,4.258054737,2018
Dominican Republic,83,5.302,0.106,High,80.0,0.764,73.2323,14.34401997,9.106114462,16958.43305,1.009,20.62280994,18.23925781,15.82689,27.802282,0.451,95.0,9.45,2.418157433,2018
Algeria,84,5.295,0.135,High,91.0,0.745,76.0656,14.57779338,8.004686727,11344.17458,0.876,19.48003777,13.3869133,33.68956,11.36364,0.439,112.0,11.5,3.824120009,2018
Morocco,85,5.254,0.074,Medium,123.0,0.676,73.9863,13.72161961,5.782,7301.739349,0.853,25.45988505,12.00520515,41.87093,22.50352,0.435,70.0,6.95,1.729022154,2018
China,86,5.246,0.103,High,79.0,0.755,77.7444,14.03231,7.500069873,15067.74081,0.981,15.09035632,6.200068951,11.68,27.391,0.206,29.0,21.34,7.207652756,2018
Azerbaijan,87,5.201,0.176,High,91.0,0.757,72.7601,13.30998039,10.54176044,13502.96367,0.952,8.41429991,12.81883812,3.56506161,8.859,0.307,26.0,10.57,3.703418561,2018
Tajikistan,88,5.199,0.034,Medium,122.0,0.671,70.3532,11.60900119,11.37723672,3953.31425,0.906,12.73252692,17.69193077,6.03825,14.4674,0.289,17.0,5.47,1.000743338,2018
Jordan,90,5.161,0.134,High,102.0,0.723,75.7743,10.41676998,10.3508997,9967.349228,0.89,14.45392984,10.00807953,15.44186,17.91185,0.449,46.0,7.56,2.534751023,2018
Nigeria,91,5.155,0.032,Low,163.0,0.531,52.5536,9.937831,6.958530903,4928.925873,0.86,36.64900886,41.48026657,40.41507,28.05169,0.67,917.0,3.53,0.65311248,2018
Kyrgyzstan,92,5.131,0.035,Medium,118.0,0.698,70.728,12.96755981,11.36813177,4978.956446,0.959,9.63629613,11.71404839,3.36425,13.83059,0.381,60.0,8.98,1.855590789,2018
Bosnia and Herzegovina,93,5.129,0.0,High,74.0,0.776,77.0926,13.78761333,9.812379837,14303.17629,0.922,13.05344918,4.211072445,14.78890508,20.16037,0.162,10.0,14.43,6.641244914,2018
Mongolia,94,5.125,0.032,High,96.0,0.743,71.1992,14.93639851,9.547314262,10960.06887,1.027,13.10903127,10.4971838,11.88363,16.94628,0.329,45.0,11.15,14.99494041,2018
Indonesia,96,5.093,0.018,High,114.0,0.71,70.3375,13.60698032,8.162039757,11030.26908,0.936,17.2721049,14.44902802,17.25001669,20.11727,0.453,177.0,6.66,2.297168351,2018
Bhutan,97,5.082,0.171,Medium,127.0,0.658,71.1286,13.10214043,4.580629311,10329.65877,0.936,28.05301583,15.97733116,48.22657529,19.95514103,0.429,183.0,31.29,1.903397191,2018
Somalia,98,4.982,0.282,,,,56.3754,,,1071.89966,,,40.9576149,,24.35,,829.0,3.68,0.042479371,2018
