Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Cameroon,99,4.975,0.043,Medium,151.0,0.577,61.1798,12.76488609,6.095438148,3642.735667,0.882,32.44528628,30.62975883,31.71699,34.98911,0.572,529.0,2.06,0.314558852,2018
Bulgaria,100,4.933,0.009,High,68.0,0.809,74.8983,14.19587994,11.29952653,21585.23735,0.992,11.08828875,5.54673624,6.09875,21.61938,0.21,10.0,14.69,6.188304852,2018
Nepal,101,4.88,0.078,Medium,143.0,0.601,68.9786,12.95372534,4.965326529,3798.135482,0.946,24.72505538,16.97784615,40.881,16.31632,0.457,186.0,5.3,0.487262933,2018
Venezuela,102,4.806,0.052,Medium,120.0,0.738,71.9788,12.81608,10.8356987,10431.452,1.004,13.91838663,12.08456993,8.67058997,21.0,0.483,125.0,9.69,4.160217714,2018
Gabon,103,4.758,0.052,High,112.0,0.706,66.3064,12.9,9.322,13359.91549,0.906,21.889877,20.97581291,23.47992,21.2138981,0.549,252.0,9.67,2.245532081,2018
South Africa,105,4.724,0.056,High,109.0,0.726,65.6743,13.53530979,10.7576704,13491.22179,0.962,31.10396365,19.02176094,17.29413,56.996,0.405,119.0,7.6,8.032053561,2018
Iran,106,4.707,0.129,High,76.0,0.787,76.195,14.74757004,10.52784353,13536.54586,0.889,11.26013116,9.081683159,4.984428444,19.71428189,0.452,16.0,12.53,8.644936122,2018
Ivory Coast,107,4.671,0.103,Medium,159.0,0.542,58.8494,10.21954966,5.106435161,4839.893305,0.874,34.99417502,32.33203506,45.60904,27.04145,0.632,617.0,3.34,0.408943554,2018
Ghana,108,4.657,0.029,Medium,133.0,0.62,64.122,11.48332977,8.193073801,5071.995858,0.935,27.8852273,24.41152191,35.10167,24.14249,0.539,308.0,3.84,0.560437492,2018
Senegal,109,4.631,0.082,Low,170.0,0.512,68.0966,8.95061779,2.883815558,3224.813134,0.859,29.8728252,19.87035561,46.36412,23.384,0.532,315.0,4.05,0.714656816,2018
Tunisia,111,4.592,0.063,High,97.0,0.743,75.9501,15.3248039,7.352466164,11027.26702,0.932,19.31758163,10.36034489,30.70285,16.88955,0.253,43.0,8.98,2.53889232,2018
Albania,112,4.586,0.032,High,67.0,0.806,79.1838,14.69561958,11.09698316,13302.70596,0.997,10.55449877,6.151076317,12.33344,13.17898,0.164,15.0,12.85,1.642152952,2018
Sierra Leone,113,4.571,0.053,Low,181.0,0.47,59.7959,9.509414262,4.455658093,1528.635626,0.867,34.13000379,37.72502136,46.92677,17.73822,0.638,1120.0,2.0,0.124525663,2018
Bangladesh,115,4.5,0.144,Medium,129.0,0.635,72.5675,12.03569031,6.385879993,4642.820099,0.89,22.62243087,17.0665226,35.55633,15.24444,0.533,173.0,2.84,0.511845241,2018
Sri Lanka,116,4.471,0.05,High,73.0,0.776,75.748,14.11106968,10.64155006,12509.74227,0.957,13.3899254,5.809336185,11.99693,22.36351,0.378,36.0,4.33,0.989148543,2018
Iraq,117,4.456,0.095,Medium,121.0,0.692,71.5143,11.95379925,7.88291085,10465.09393,0.801,19.17035961,15.08621883,29.74591,12.67895,0.569,79.0,10.54,5.498462283,2018
Mali,118,4.447,0.056,Low,186.0,0.43,59.3934,7.442024549,2.2,2217.611028,0.82,31.85974236,35.15585709,43.85965,16.56372,0.675,562.0,4.59,0.191825566,2018
Namibia,119,4.441,0.064,Medium,139.0,0.636,62.5859,11.89964286,7.140568261,9704.240117,1.013,33.43481455,21.70319366,25.01567,53.58558,0.442,195.0,12.24,1.665195578,2018
Cambodia,120,4.433,0.065,Medium,146.0,0.591,70.5609,11.33676945,4.966,3864.496775,0.921,19.4401133,16.6733799,27.30485,14.34211,0.466,160.0,5.23,0.792539375,2018
Burkina Faso,121,4.424,0.128,Low,184.0,0.449,60.0466,9.273730278,1.91952002,2050.921164,0.884,29.96190711,33.42119217,39.15279412,17.31173505,0.598,320.0,2.96,0.2177408,2018
Egypt,122,4.419,0.107,High,97.0,0.729,71.3669,13.60529995,9.305633501,11079.03334,0.905,28.40631057,11.7730217,36.94291,36.503,0.456,37.0,7.94,2.313688024,2018
Mozambique,123,4.417,0.158,Low,185.0,0.451,60.5261,10.09584184,3.130214992,1265.815831,0.917,33.06937941,30.28216743,40.5314308,28.39454,0.543,289.0,2.18,0.233635037,2018
Kenya,124,4.41,0.055,Medium,152.0,0.577,62.6765,10.65468781,6.564,4273.498235,0.938,26.02581222,22.03370667,22.89552,33.14821,0.514,342.0,4.62,0.350566274,2018
Zambia,125,4.377,0.082,Medium,154.0,0.572,62.3422,10.92836554,7.058784771,3418.096158,0.993,30.92845792,27.50943375,20.43572,44.84022,0.537,213.0,2.8,0.421462832,2018
Mauritania,126,4.356,0.093,Medium,158.0,0.556,65.31,9.106389999,4.804934252,5167.404537,0.886,,27.48851395,40.78516,,0.634,766.0,6.97,0.832941015,2018
Ethiopia,127,4.35,0.146,Low,175.0,0.489,65.4117,9.462476818,3.028058847,2093.520321,0.912,27.34755069,25.18552208,43.50563,13.3515,0.525,401.0,0.5,0.147853391,2018
Georgia,128,4.34,0.215,Very High,63.0,0.804,73.3414,15.2750597,12.84828997,13697.40109,0.987,11.53875059,6.981446743,2.784805013,24.85,0.298,25.0,12.19,2.524293382,2018
Armenia,129,4.321,0.028,High,85.0,0.771,75.0645,13.06861019,11.23515987,12933.83405,0.987,9.396357343,7.815752029,2.93495,17.43837,0.26,26.0,6.01,1.973679976,2018
Myanmar,130,4.308,0.178,Medium,149.0,0.59,66.4646,10.6702404,6.235442423,4336.410687,0.958,,22.5657959,26.85272,,0.512,250.0,2.11,0.608471835,2018
Chad,131,4.301,0.06,Low,190.0,0.398,52.8253,7.858482783,2.479598405,1553.131495,0.767,37.39974672,40.84914017,42.9501,28.4,0.69,1140.0,8.16,0.067471139,2018
India,133,4.19,0.093,Medium,132.0,0.645,70.7095,11.81347513,6.55361925,6449.18609,0.849,25.62413349,18.83567047,38.66773,19.369,0.505,133.0,5.11,1.922020137,2018
Niger,134,4.166,0.099,Low,189.0,0.399,62.4544,6.67627276,2.038633011,1257.082178,0.829,27.44187796,30.92690468,34.96483,16.43389921,0.635,509.0,4.14,0.083015407,2018
Uganda,135,4.161,0.061,Low,166.0,0.522,62.7139,10.27499662,5.675231566,2064.075583,0.923,25.02224196,22.21195793,27.91438,24.94038796,0.533,375.0,1.8,0.128680647,2018
Benin,136,4.141,0.067,Low,166.0,0.53,60.1403,11.6906147,4.157598728,3128.748762,0.851,36.76607717,34.6303215,43.69355,31.97436,0.613,397.0,3.47,0.631656265,2018
Sudan,137,4.139,0.082,Low,172.0,0.514,65.681,7.859990261,3.77,4109.613994,0.871,34.05617313,26.7183094,42.45021,33.0,0.557,295.0,11.37,0.506679982,2018
Ukraine,138,4.103,0.011,High,77.0,0.783,74.4122,14.93799873,11.13953963,12455.66945,1.013,5.948616278,5.721866131,3.59926,8.524722702,0.249,19.0,11.26,5.244136914,2018
Togo,139,3.999,0.101,Low,162.0,0.528,60.244,12.83352383,4.890200241,2066.946841,0.838,31.39320779,29.59870338,37.72766,26.85326,0.586,396.0,4.06,0.29027418,2018
Guinea,140,3.964,0.094,Low,182.0,0.462,59.3491,9.640652849,2.129199982,2409.63997,0.846,34.97061802,36.94997406,50.12411,17.83777,0.611,576.0,4.37,0.296915821,2018
Lesotho,141,3.808,0.112,Low,168.0,0.522,53.733,12.08609896,5.921506884,2997.479203,0.989,27.75884422,34.14277267,19.55712,29.57664,0.559,544.0,,1.22518887,2018
Angola,142,3.795,0.061,Medium,148.0,0.595,62.1438,12.1721,5.417390823,6381.521946,0.903,31.16753357,30.45383072,34.17144,28.87733,0.537,241.0,2.28,0.791170676,2018
Madagascar,143,3.774,0.049,Low,173.0,0.507,65.2697,10.17391968,5.073239803,1548.073162,0.954,27.40667387,25.31720161,29.34582,27.557,0.552,335.0,1.53,0.158657008,2018
Zimbabwe,144,3.692,0.099,Medium,146.0,0.602,61.4141,11.98176697,8.585394977,3864.012419,0.952,22.83288667,24.67663002,16.80576,27.01627,0.535,458.0,2.05,0.821009943,2018
Afghanistan,145,3.632,0.036,Low,180.0,0.483,63.081,10.19754982,2.659188987,2054.939895,0.71,,27.50606918,45.36517,,0.671,638.0,1.32,0.22449203,2018
Botswana,146,3.59,0.092,Medium,117.0,0.716,65.4224,12.27946483,10.26,16285.69632,0.976,,22.68073845,23.27683,,0.474,144.0,14.64,3.354557183,2018
Malawi,147,3.587,0.08,Low,169.0,0.51,63.2758,12.4431407,4.396741029,1463.544391,0.966,27.49969187,21.67478561,28.42429,32.4,0.574,349.0,1.6,0.08654474,2018
Haiti,148,3.582,0.104,Low,163.0,0.541,64.0188,9.5,5.478,3174.807694,0.898,38.4672622,27.62634659,37.33677,50.43867,0.636,480.0,2.45,0.302773182,2018
Liberia,149,3.495,0.03,Low,178.0,0.483,60.8532,10.27304866,4.944,1406.047065,0.866,32.50999296,31.93702888,42.87091,22.72204,0.645,661.0,2.77,0.225213962,2018
Rwanda,151,3.408,0.444,Low,165.0,0.528,66.2505,11.18665981,4.334969997,2014.357454,0.951,28.90889985,21.07901955,29.25386,36.39382,0.389,248.0,1.98,0.09283066,2018
Yemen,152,3.355,0.064,Low,183.0,0.459,64.5751,9.09871006,3.2,1341.656234,0.5,31.65958601,27.03787804,46.13765,21.80323,0.806,164.0,2.84,0.350321452,2018
Tanzania,153,3.303,0.097,Low,160.0,0.538,66.5346,8.479839802,6.231957903,2555.427577,0.941,24.27825345,23.47463036,26.96013,22.4,0.562,524.0,1.61,0.209378088,2018
South Sudan,154,3.254,0.106,Low,191.0,0.395,55.9495,5.54251,5.726140022,845.39,0.844,36.29043276,37.06578827,39.55255,32.25296,0.596,1150.0,4.73,0.121848478,2018
Central African Republic,155,3.083,0.038,Low,188.0,0.405,54.3693,7.85780837,4.308,1001.711793,0.807,40.64669793,38.19590378,34.5496,49.19459,0.69,829.0,1.49,0.047111587,2018
