Country,Happiness Score,Corruption,Happiness Rank,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Sierra Leone,3.926399946,0.861330688,139,Low,181.0,0.475,59.7632,9.57339109,4.576081285,1604.380084,0.894,34.41552301,35.88798904,47.50289,19.85569,0.634,1120.0,2.12,0.109965133,2020
Burundi,3.775300026,0.606934547,140,Low,187.0,0.426,61.5663,10.72272189,3.129266883,735.7371044,0.938,28.86453833,26.17607498,39.48821,20.92933,0.506,548.0,1.71,0.050642582,2020
Zambia,3.759399891,0.801289678,141,Medium,154.0,0.57,62.3803,10.92876021,7.187091494,3178.619722,0.965,30.46277557,26.1123867,20.43572,44.84022,0.535,213.0,2.38,0.3575346,2020
Haiti,3.720799923,0.684767246,142,Low,163.0,0.54,64.0518,9.7,5.554,2939.863103,0.899,38.11133505,26.55856514,37.33677,50.43867,0.636,480.0,2.4,0.256039713,2020
Lesotho,3.652800083,0.857392073,143,Low,168.0,0.521,54.6933,12.04087801,6.010184707,2676.630183,0.984,27.60609485,33.68452454,19.55712,29.57664,0.557,544.0,,1.019209252,2020
India,3.573299885,0.772042692,144,Medium,132.0,0.642,70.1499,11.87462044,6.655109195,6107.493949,0.845,24.54688962,17.39593887,36.87573,19.369,0.493,133.0,5.23,1.769409088,2020
Malawi,3.538000107,0.731700778,145,Low,169.0,0.516,63.7167,12.67898523,4.489695385,1475.38654,0.971,26.52514147,20.2911644,28.00731,31.27695,0.555,349.0,1.71,0.072922295,2020
Yemen,3.527400017,0.800287724,146,Low,183.0,0.46,64.6501,9.09871006,3.2,1370.601082,0.509,31.3180123,26.01315689,46.13765,21.80323,0.784,164.0,2.89,0.327509951,2020
Botswana,3.478899956,0.777930915,147,Medium,117.0,0.713,65.6471,12.26513765,10.34,14696.02701,0.981,,21.79156303,23.27683,,0.469,144.0,14.19,2.772080776,2020
Tanzania,3.476200104,0.619799435,148,Low,160.0,0.548,66.4077,9.221489906,6.37289871,2615.736839,0.943,23.86649312,22.23934937,26.96013,22.4,0.56,524.0,1.58,0.183121172,2020
Central African Republic,3.475899935,0.891806662,149,Low,188.0,0.407,54.6042,8.040171714,4.334,974.4816457,0.806,40.21556319,36.25424957,35.19785,49.19459,0.69,829.0,1.57,0.038906639,2020
Rwanda,3.312299967,0.183541179,150,Low,165.0,0.532,66.7741,11.23097038,4.425292358,2051.532402,0.955,24.8804684,20.08985519,27.35907,27.19248,0.388,248.0,2.0,0.079731518,2020
Zimbabwe,3.299200058,0.81023699,151,Medium,146.0,0.6,61.1242,12.11096904,8.710908501,3654.289051,0.959,22.51849027,24.18143082,14.60503,28.76901,0.533,458.0,1.21,0.708561788,2020
South Sudan,2.816600084,0.763417304,152,Low,191.0,0.386,55.4801,5.54251,5.726140022,750.108,0.841,36.25459368,36.95827103,39.55255,32.25296,0.597,1150.0,4.78,0.105344736,2020
Afghanistan,2.566900015,0.933686554,153,Low,180.0,0.483,62.5751,10.26384398,2.854717589,1997.852149,0.689,,26.43369865,45.36517,,0.674,638.0,1.38,0.312376488,2020
