Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Norway,1,7.53700017929077,0.315963834524155,Very High,2.0,0.959,82.624,18.06615067,12.94715977,66403.54684,0.989,6.63516087,2.78721261,4.38463,12.73364,0.023,2.0,38.63,8.377883083,2017
Denmark,2,7.52199983596802,0.40077006816864,Very High,6.0,0.944,81.1112,18.89341927,13.011765,56568.41589,0.981,6.002870664,3.602241993,3.01486,11.39151,0.027,4.0,24.86,6.060962892,2017
Iceland,3,7.50400018692017,0.153526559472084,Very High,3.0,0.954,82.5352,19.08308983,13.4558567,53923.22172,0.977,5.192773675,2.974421024,2.79474,9.80916,0.056,4.0,88.7,10.78042902,2017
Switzerland,4,7.49399995803833,0.367007285356522,Very High,1.0,0.957,83.4125,16.32843971,13.73318529,68167.80327,0.967,6.607920982,3.410002947,1.93114,14.48262,0.034,5.0,32.82,4.515537494,2017
Finland,5,7.4689998626709,0.38261154294014,Very High,11.0,0.934,81.4976,19.39711952,12.73937988,47593.88701,0.989,5.23734182,2.99454546,2.27839,10.43909,0.042,3.0,37.39,8.101813505,2017
Netherlands,6,7.3769998550415,0.282661825418472,Very High,10.0,0.937,81.7291,18.48513031,12.25356531,55507.09027,0.964,6.818684653,3.463943958,4.92932,12.06279,0.029,5.0,31.74,9.55330386,2017
Canada,7,7.31599998474121,0.287371516227722,Very High,15.0,0.931,82.0192,16.15789032,13.76600456,47702.63749,0.987,8.000924889,4.404774666,2.521,17.077,0.083,10.0,36.48,15.50035194,2017
New Zealand,8,7.31400012969971,0.382816702127457,Very High,13.0,0.935,82.2189,18.83856964,13.2373023,40700.46491,0.966,7.433019274,4.009527683,1.840131778,16.44939836,0.112,9.0,32.7,7.625380846,2017
Sweden,9,7.28399991989136,0.384398728609085,Very High,7.0,0.941,82.4382,19.48233986,12.48604965,52849.39299,0.984,6.553768344,2.858345032,3.79204,13.01092,0.035,4.0,29.42,4.300267262,2017
Australia,10,7.28399991989136,0.301183730363846,Very High,5.0,0.937,83.0006,21.95433044,12.42234039,47085.22714,0.966,7.909382245,3.550913572,3.043233164,17.134,0.096,6.0,48.27,16.87035228,2017
Israel,11,7.21299982070923,0.0852421000599861,Very High,22.0,0.917,82.7195,16.16283035,13.15115217,38924.31301,0.987,11.18597763,3.2863729,6.58256,23.689,0.094,3.0,28.61,7.141470828,2017
Costa Rica,12,7.0789999961853,0.100106589496136,Very High,58.0,0.807,79.3769,15.66736984,8.643780231,19283.51036,0.98,17.17606161,5.990523815,11.9393,33.598361,0.307,27.0,16.98,1.679126715,2017
Austria,13,7.00600004196167,0.221060365438461,Very High,25.0,0.916,81.6391,16.09206963,12.15911961,53665.02668,0.964,7.390054951,3.268324852,2.9996,15.90224,0.072,5.0,25.62,7.89112032,2017
United States,14,6.99300003051758,0.135638788342476,Very High,21.0,0.924,78.8213,16.31038094,13.42226505,61186.46283,0.99,11.67290634,5.818261623,2.915457403,26.285,0.209,19.0,28.12,16.01967242,2017
Ireland,15,6.97700023651123,0.29838815331459,Very High,8.0,0.934,81.9168,18.70528984,11.4341898,61729.40784,0.976,7.026772575,3.088737726,3.28604,14.70554,0.086,5.0,31.29,8.232927207,2017
Germany,16,6.95100021362305,0.276731938123703,Very High,9.0,0.944,80.9442,16.97719002,14.10476494,54335.96281,0.971,7.300031658,3.442044973,2.7227,15.73535,0.087,7.0,21.29,9.507597709,2017
Belgium,17,6.89099979400635,0.251343131065369,Very High,13.0,0.931,81.3618,19.77437973,12.23692989,50904.68909,0.973,7.601067298,3.728221893,7.68431,11.39067,0.057,5.0,34.02,8.708432095,2017
Luxembourg,18,6.86299991607666,0.31883442401886,Very High,17.0,0.919,81.734,14.25582027,12.65323261,82296.95125,0.99,9.312244981,3.290864944,8.00368,16.64219,0.058,5.0,46.69,15.64646652,2017
United Kingdom,19,6.71400022506714,0.265428066253662,Very High,18.0,0.93,81.1684,17.49843025,13.16133022,45771.00186,0.972,7.785008024,3.872034073,2.73404,16.74895,0.117,7.0,18.2,5.808181432,2017
Chile,20,6.65199995040894,0.0822879821062088,Very High,42.0,0.853,80.3501,16.44754982,10.59051991,23458.6445,0.965,15.24475519,5.723001957,11.73821662,28.273047,0.243,13.0,12.65,4.550297911,2017
United Arab Emirates,21,6.64799976348877,0.324489563703537,Very High,26.0,0.897,79.5036,14.3441,12.05539989,67667.50846,0.945,,5.036153316,14.47533507,,0.112,3.0,75.61,17.79568752,2017
Brazil,22,6.63500022888184,0.111092761158943,High,87.0,0.759,74.8266,15.48515987,7.851759911,14253.07502,0.99,22.62603457,10.07506371,16.9775,40.82554,0.421,60.0,18.89,2.40941389,2017
Argentina,24,6.59899997711182,0.059739887714386,Very High,47.0,0.851,76.833,17.6541996,11.01644516,22996.67142,0.993,13.39805823,8.0070467,6.20843,25.978698,0.328,39.0,18.75,4.274395193,2017
Mexico,25,6.57800006866455,0.132774114608765,High,86.0,0.775,74.1378,14.80978012,8.742489815,19209.21915,0.959,18.39496632,10.26971054,14.11041542,30.804773,0.336,33.0,10.05,3.685358728,2017
Singapore,26,6.57200002670288,0.46430778503418,Very High,12.0,0.935,83.2236,16.44087982,11.5461998,88088.26615,0.989,12.85533834,2.562251329,11.04336304,24.96040064,0.048,8.0,55.48,6.84395925,2017
Malta,27,6.52699995040894,0.153066068887711,Very High,23.0,0.901,83.5867,16.10407066,11.56434488,38304.2029,0.973,7.999650344,4.832221031,6.69493,12.4718,0.188,6.0,46.99,3.560818664,2017
Uruguay,28,6.4539999961853,0.178061872720718,Very High,58.0,0.819,77.6247,16.83563995,8.831359863,21733.37205,1.018,12.04780025,6.154525757,6.63096,23.357915,0.269,17.0,22.05,1.793204469,2017
Guatemala,29,6.4539999961853,0.0772232785820961,Medium,135.0,0.64,72.5506,10.65756512,5.74357605,8147.871684,0.929,26.75967192,15.76408577,34.95493,29.56,0.52,95.0,4.91,1.022283811,2017
Panama,30,6.4520001411438,0.070983923971653,Very High,61.0,0.811,77.7954,12.95616796,10.25965691,28606.48873,1.007,20.19681747,11.52538681,12.15230059,36.912765,0.417,52.0,11.08,2.730126774,2017
France,31,6.44199991226196,0.172502428293228,Very High,28.0,0.898,82.4732,15.64560032,11.40970039,45584.57087,0.989,9.146129323,3.931787968,9.135,14.3716,0.073,8.0,19.7,5.197140043,2017
Thailand,32,6.42399978637695,0.0316127352416515,Very High,66.0,0.79,78.3939,15.57729969,8.343885422,16642.45037,0.995,16.1126233,7.939879894,16.58373,23.81426,0.419,37.0,10.74,4.131778429,2017
Spain,34,6.40299987792969,0.0709140971302986,Very High,27.0,0.897,83.0295,17.61613083,10.07671499,39543.65687,0.984,13.97756587,2.986117601,17.07892,21.86766,0.068,4.0,14.11,5.887612925,2017
Qatar,35,6.375,0.439299255609512,Very High,42.0,0.849,80.7171,11.90872002,9.730019569,91499.86316,1.027,,4.620758057,11.22725944,,0.176,9.0,44.9,36.61180125,2017
Colombia,36,6.35699987411499,0.0466687418520451,High,88.0,0.761,76.6456,14.40923977,8.362985134,13912.22581,0.991,20.39286688,9.804890633,15.84659,35.52712,0.427,83.0,9.0,1.76438528,2017
Saudi Arabia,37,6.3439998626709,0.27343225479126,Very High,35.0,0.86,77.1605,15.63002014,10.22029972,48041.17305,0.898,,5.875810146,18.11940114,,0.298,17.0,31.78,19.31586787,2017
Trinidad and Tobago,38,6.16800022125244,0.0089648161083459,Very High,57.0,0.817,74.2301,14.26123815,11.35999926,26543.37527,0.986,,11.67577362,,,0.348,67.0,,28.86307592,2017
Kuwait,39,6.10500001907349,0.215159550309181,Very High,50.0,0.835,79.7806,15.00589617,7.192820072,58767.65534,1.008,,5.500520706,21.94016533,,0.258,12.0,53.82,23.45716907,2017
Slovakia,40,6.09800004959106,0.0242108516395092,Very High,45.0,0.856,77.219,14.48703957,12.76618004,29516.49964,0.991,5.817629513,4.566688538,1.55613,11.33007,0.193,5.0,21.91,6.613667652,2017
Bahrain,41,6.08699989318848,0.257042169570923,Very High,35.0,0.869,79.689,16.41513062,9.586489677,45033.83054,0.928,,5.003754139,15.87218065,,0.228,14.0,28.98,21.81361591,2017
Malaysia,42,6.08400011062622,0.0656007081270218,Very High,62.0,0.805,75.4763,13.67864037,10.45936012,25910.44685,0.977,,6.039265633,12.06360206,,0.242,29.0,19.93,8.055430047,2017
Nicaragua,43,6.07100009918213,0.130687981843948,Medium,126.0,0.659,73.5536,12.22731048,6.912,5694.054636,0.958,22.58714507,11.2685976,25.79903661,30.693801,0.431,98.0,5.96,0.862072476,2017
Ecuador,44,6.00799989700317,0.140134647488594,High,95.0,0.762,76.9725,14.95492999,8.765919685,11346.37257,0.965,17.81662255,9.787412643,13.76572,29.896735,0.376,59.0,8.06,2.339896056,2017
El Salvador,45,6.00299978256226,0.0899809598922729,Medium,125.0,0.674,72.3108,12.53785778,6.825099945,7984.420771,0.982,19.24989319,11.36567879,24.57277678,21.811224,0.372,46.0,7.89,0.941715927,2017
Poland,46,5.97300004959106,0.0593078061938286,Very High,34.0,0.875,77.7205,16.08062935,13.04480243,28817.10086,1.006,8.014790925,4.453942776,5.20938,14.38105,0.125,2.0,17.93,8.897351948,2017
Uzbekistan,47,5.97100019454956,0.246528223156929,High,101.0,0.715,71.0095,12.05881977,11.72383976,6974.358065,0.944,,10.48999405,0.724853929,,0.278,29.0,6.18,3.352750965,2017
Italy,48,5.96400022506714,0.0280280914157629,Very High,30.0,0.888,82.7282,16.08889961,10.47961998,41812.97134,0.968,11.80936717,3.106271505,10.97711,21.34472,0.07,2.0,13.55,5.815532829,2017
Belize,50,5.95599985122681,0.0965810716152191,Medium,123.0,0.707,73.5624,13.11357975,9.339186096,6709.03456,0.98,20.61136182,9.094975471,14.81278,37.92633,0.414,36.0,18.49,1.638107454,2017
Japan,51,5.92000007629395,0.163760736584663,Very High,19.0,0.922,84.1976,15.21569,13.33075812,43040.54532,0.97,7.958290285,2.700981855,4.511,16.662889,0.093,5.0,19.47,9.318411038,2017
Lithuania,52,5.90199995040894,0.0118656428530812,Very High,35.0,0.876,75.4399,16.63731003,13.18838978,32541.17287,1.02,10.07459587,4.140087605,4.27895,21.80475,0.133,8.0,39.93,4.769710137,2017
Algeria,53,5.87200021743774,0.146096110343933,High,91.0,0.744,75.7428,14.52869073,7.940606186,11562.26587,0.873,19.56829333,13.65167999,33.68956,11.36364,0.44,112.0,9.13,3.743383327,2017
Latvia,54,5.84999990463257,0.0738427266478539,Very High,39.0,0.86,74.8054,16.16769028,13.05903006,28601.52573,1.03,8.611041016,4.719593048,2.58293,18.5306,0.204,19.0,31.53,3.69786843,2017
South Korea,55,5.83799982070923,0.0632826685905457,Very High,19.0,0.916,83.2855,16.4816494,12.31303351,41124.36929,0.938,9.301127215,2.937339306,8.836042338,16.13,0.08,11.0,22.72,12.83352462,2017
Moldova,56,5.83799982070923,0.0100912861526012,High,80.0,0.765,70.5155,14.29790974,11.8187631,12315.48679,1.015,7.575182414,9.529241562,2.759083599,10.43722208,0.242,19.0,4.05,1.285937526,2017
Romania,57,5.82499980926514,0.00438790069893,Very High,53.0,0.823,75.9519,14.25988007,11.14865017,26756.30966,0.982,10.75923625,6.217818737,5.3222,20.73769,0.283,19.0,15.21,3.928117522,2017
Bolivia,58,5.82299995422363,0.0604777261614799,Medium,118.0,0.708,67.7015,14.90059471,9.396595001,8174.492977,0.95,23.69835376,19.58058929,19.30221,32.212262,0.424,155.0,11.15,2.105075068,2017
Turkmenistan,59,5.82200002670288,0.259270340204239,High,91.0,0.741,68.9158,12.76720446,11.19282692,13615.49576,0.955,16.99352694,20.62630081,3.55428,26.8,0.184,7.0,7.5,12.19789196,2017
Kazakhstan,60,5.81899976730347,0.119282886385918,Very High,56.0,0.811,71.3958,15.29436016,12.07710298,22157.8711,0.992,7.114502494,7.836977482,3.16666,10.33987,0.177,10.0,34.22,17.03034162,2017
Slovenia,62,5.75799989700317,0.0451289787888527,Very High,23.0,0.913,81.0714,17.57205963,12.70028973,35849.55565,0.994,4.613235224,2.531745672,2.17402,9.13394,0.054,7.0,26.39,7.027519825,2017
Peru,63,5.71500015258789,0.0470490865409374,High,84.0,0.77,75.879,14.99071026,9.535280228,11931.12893,0.951,17.71171752,9.500276566,15.06621,28.568666,0.404,88.0,9.32,1.708484635,2017
Mauritius,64,5.62900018692017,0.0421815551817417,Very High,63.0,0.805,74.8812,15.05659962,9.914224809,23536.24781,0.963,16.41972538,9.165211678,21.91298205,18.18098242,0.384,61.0,,3.587191449,2017
Cyprus,65,5.62099981307983,0.0412379764020443,Very High,29.0,0.887,81.328,15.16886997,12.18473005,37163.37655,0.981,9.352750008,2.738080025,11.03766,14.28251,0.105,6.0,39.0,6.377248707,2017
