Country,Happiness Score,Corruption,Happiness Rank,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Finland,7.842,0.186,1,Very High,11.0,0.94,82.0381,19.05192947,12.87362003,49452.16672,0.989,5.224387065,2.774231195,2.41555,10.48338,0.033,3.0,36.73,7.090703013,2021
Denmark,7.62,0.179,2,Very High,6.0,0.948,81.3753,18.71479988,12.96049023,60364.78595,0.98,5.186913722,3.006301165,2.50376,10.05068,0.013,4.0,25.86,4.522442415,2021
Switzerland,7.571,0.292,3,Very High,1.0,0.962,83.9872,16.50029945,13.85966015,66933.00454,0.967,6.89990636,3.103429079,2.01457,15.58172,0.018,5.0,31.14,3.731913422,2021
Iceland,7.554,0.673,4,Very High,3.0,0.959,82.6782,19.16305923,13.76716995,55782.04981,0.976,4.556437474,1.954472423,2.20077,9.51407,0.043,4.0,59.61,8.603839493,2021
Netherlands,7.464,0.338,5,Very High,10.0,0.941,81.6873,18.69316522,12.58162975,55979.411,0.968,6.697945352,3.334346056,4.86674,11.89275,0.025,5.0,32.26,8.059593325,2021
Norway,7.392,0.27,6,Very High,2.0,0.961,83.2339,18.18519974,13.00362968,64660.10622,0.983,5.435151511,2.541614532,2.3324,11.43144,0.016,2.0,38.82,7.615046075,2021
Sweden,7.363,0.237,7,Very High,7.0,0.947,82.9833,19.41852951,12.60972023,54489.37401,0.988,6.416554863,2.610124588,3.8679,12.77164,0.023,4.0,26.72,3.825506114,2021
Luxembourg,7.324,0.386,8,Very High,17.0,0.93,82.6287,14.39813995,13.01519217,84649.47467,0.993,8.413193197,3.870309591,4.71707,16.6522,0.044,5.0,45.47,13.05892539,2021
New Zealand,7.277,0.242,9,Very High,13.0,0.937,82.4513,20.28388977,12.94468975,44057.31394,0.975,7.486808254,4.170894623,1.840131778,16.44939836,0.088,9.0,30.7,6.941846236,2021
Austria,7.268,0.481,10,Very High,25.0,0.916,81.5797,16.00795937,12.25669003,53618.67138,0.98,6.904079795,3.256919384,2.52241,14.93291,0.053,5.0,24.62,6.732425105,2021
Australia,7.183,0.442,11,Very High,5.0,0.951,84.5265,21.05459023,12.72681999,49238.43335,0.968,7.640183183,2.73797965,3.056569899,17.126,0.073,6.0,46.82,15.36837971,2021
Israel,7.157,0.753,12,Very High,22.0,0.919,82.255,16.05088997,13.3448664,41523.74319,0.992,10.86813024,3.198390722,6.272,23.134,0.083,3.0,30.76,6.510389017,2021
Germany,7.155,0.46,13,Very High,9.0,0.942,80.6301,17.01013947,14.09096691,54534.21682,0.978,6.177129593,3.408158779,2.6632,12.46003,0.073,7.0,19.4,7.690141865,2021
Canada,7.103,0.415,14,Very High,15.0,0.936,82.6565,16.39625931,13.83442722,46807.98619,0.988,7.901529772,4.106589317,2.521,17.077,0.069,10.0,35.05,14.19693746,2021
Ireland,7.085,0.363,15,Very High,8.0,0.945,81.9976,18.94522095,11.58222303,76168.98443,0.987,6.161783203,2.825729609,3.39666,12.26296,0.074,5.0,49.25,6.753775883,2021
Costa Rica,7.069,0.809,16,Very High,58.0,0.809,77.0232,16.54577065,8.804059982,19974.27358,0.996,16.96065133,5.891644001,11.57677,33.41354,0.256,27.0,14.43,1.552260862,2021
United Kingdom,7.064,0.459,17,Very High,18.0,0.929,80.7422,17.30971909,13.4061203,45224.76564,0.987,8.243507931,3.913083792,2.84785,17.96959,0.098,7.0,17.85,4.854886819,2021
United States,6.951,0.698,19,Very High,21.0,0.921,77.1982,16.28097916,13.68342972,64765.21509,1.001,10.63809158,5.946424961,2.745849765,23.222,0.179,19.0,29.65,14.23786361,2021
Belgium,6.834,0.646,20,Very High,13.0,0.937,81.8787,19.60421944,12.37567997,52293.39977,0.978,6.587387026,3.582081079,5.87561,10.30447,0.048,5.0,33.45,7.226205719,2021
France,6.69,0.571,21,Very High,28.0,0.903,82.4988,15.81206989,11.61005974,45937.05273,0.99,8.485328055,3.816274166,7.72173,13.91798,0.083,8.0,17.1,4.23807293,2021
Bahrain,6.647,0.722,22,Very High,35.0,0.875,78.7605,16.29755974,11.04658985,39497.24788,0.927,,4.50674057,12.56789221,,0.181,14.0,23.83,20.54572969,2021
Malta,6.602,0.653,23,Very High,23.0,0.918,83.7769,16.83856964,12.21026039,38884.45623,0.98,7.425981436,3.227544308,5.19238,13.85802,0.167,6.0,40.67,3.612105729,2021
United Arab Emirates,6.561,0.589,25,Very High,26.0,0.911,78.7104,15.71769047,12.69402981,62573.59181,0.953,,4.524926186,12.63435527,,0.049,3.0,68.95,15.19333592,2021
Saudi Arabia,6.494,0.684,26,Very High,35.0,0.875,76.936,16.13549042,11.31052971,46111.55135,0.917,,5.103935719,18.11940114,,0.247,17.0,30.03,17.96720336,2021
Spain,6.491,0.745,27,Very High,27.0,0.905,83.01,17.91690063,10.60540009,38353.60164,0.986,12.64302265,2.883327961,15.73379,19.31195,0.057,4.0,13.48,4.468313378,2021
Italy,6.483,0.866,28,Very High,30.0,0.895,82.8502,16.22678947,10.7401104,42839.51441,0.97,11.22130912,2.737157345,10.05442,20.87235,0.056,2.0,11.85,5.02491109,2021
Slovenia,6.461,0.806,29,Very High,23.0,0.918,80.6904,17.65492058,12.80368042,39746.01987,0.999,4.371241934,2.748835802,2.05965,8.30524,0.071,7.0,25.38,6.042989257,2021
Guatemala,6.435,0.775,30,Medium,135.0,0.627,69.2368,10.56245041,5.681300163,8723.285317,0.917,26.12651356,13.86461067,34.95493,29.56,0.481,95.0,7.24,1.05706389,2021
Uruguay,6.431,0.59,31,Very High,58.0,0.809,75.4356,16.83259964,8.982549667,21268.88122,1.022,11.83641913,5.416339397,6.54951,23.543408,0.235,17.0,17.49,1.681218748,2021
