Country,Happiness Score,Corruption,Happiness Rank,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Singapore,6.377,0.082,32,Very High,12.0,0.939,82.7545,16.5243206,11.92488003,90918.64471,0.992,12.40971664,2.261428118,10.00732115,24.96040064,0.04,8.0,50.43,7.777989731,2021
Slovakia,6.331,0.911,34,Very High,45.0,0.848,74.9101,14.51303959,12.91141987,30690.48552,0.999,5.168764951,4.692834854,1.74792,9.06554,0.18,5.0,19.14,5.628647446,2021
Brazil,6.33,0.756,35,High,87.0,0.754,72.7504,15.59906006,8.128813955,14369.88848,0.994,22.31580091,9.988456726,15.65257,41.306376,0.39,60.0,18.87,2.198836949,2021
Mexico,6.317,0.799,36,High,86.0,0.758,70.2127,14.86443996,9.221050262,17896.29498,0.989,17.59461132,9.496991158,13.48795481,29.798888,0.309,33.0,10.85,2.76863785,2021
Jamaica,6.309,0.884,37,High,110.0,0.709,70.5003,13.40492042,9.154628661,8834.47567,0.99,15.73566602,8.725048065,6.51579,31.96616,0.335,80.0,9.95,2.508977035,2021
Lithuania,6.255,0.826,38,Very High,35.0,0.875,73.7201,16.28506088,13.49810028,37931.30359,1.03,8.316025071,4.317045212,3.57741,17.05362,0.105,8.0,40.13,5.069079734,2021
Cyprus,6.223,0.844,39,Very High,29.0,0.896,81.2033,15.64826965,12.44017029,38188.42152,0.972,8.399155342,2.644016027,9.5209,13.03255,0.123,6.0,36.58,5.380504059,2021
Estonia,6.189,0.527,40,Very High,31.0,0.89,77.1436,15.92895985,13.54843044,38048.26372,1.021,6.647519602,2.925558805,2.02737,14.98963,0.1,9.0,37.53,7.879475476,2021
Panama,6.18,0.856,41,Very High,61.0,0.805,76.2233,13.05787868,10.54059029,26956.83707,1.017,19.60325211,10.8678236,11.37222672,36.569706,0.392,52.0,13.48,2.498280904,2021
Uzbekistan,6.179,0.515,42,High,101.0,0.727,70.8616,12.47714043,11.89558983,7916.785725,0.944,,8.517651558,0.550110115,,0.227,29.0,6.12,3.369793419,2021
Chile,6.172,0.83,43,Very High,42.0,0.855,78.9435,16.73130035,10.9349663,24563.24486,0.967,14.97303049,4.907827854,11.73821662,28.273047,0.187,13.0,13.5,4.24621503,2021
Poland,6.166,0.735,44,Very High,34.0,0.876,76.4572,16.0271492,13.1647501,33033.96081,1.008,6.831017673,3.926383018,4.45925,12.10742,0.109,2.0,17.85,7.9159743,2021
Kazakhstan,6.152,0.733,45,Very High,56.0,0.811,69.3622,15.76500034,12.34756189,23942.81837,0.998,6.925083065,7.268719196,3.16666,10.33987,0.161,10.0,34.41,15.51581435,2021
Romania,6.14,0.938,46,Very High,53.0,0.821,74.1847,14.22990036,11.27511978,30027.29131,0.994,10.40918618,4.896038532,5.43438,20.89714,0.282,19.0,16.04,3.715362722,2021
Kuwait,6.106,0.736,47,Very High,50.0,0.831,78.6729,15.32443332,7.328022618,52919.76137,1.009,,5.555344582,22.10817735,,0.305,12.0,65.32,20.82510746,2021
Serbia,6.078,0.835,48,Very High,63.0,0.802,74.1923,14.40009022,11.36987019,19123.02747,0.982,9.933117503,4.10859251,7.19484,18.49592,0.131,12.0,15.65,4.936885477,2021
El Salvador,6.061,0.688,49,Medium,125.0,0.675,70.7479,12.67134767,7.150929928,8295.665889,0.964,18.60811171,9.549283028,23.7938081,22.481244,0.376,46.0,5.87,0.944111387,2021
Mauritius,6.049,0.789,50,Very High,63.0,0.802,73.5552,15.17352977,10.42791048,22025.34631,0.973,16.9101772,10.63656712,21.91298205,18.18098242,0.347,61.0,,3.129029823,2021
Latvia,6.032,0.8,51,Very High,39.0,0.863,73.5786,16.20252991,13.25271988,32803.23423,1.025,7.961744167,4.207252502,2.22774,17.45024,0.151,19.0,31.04,3.590715291,2021
Colombia,6.012,0.841,52,High,88.0,0.752,72.8296,14.44274998,8.862859726,14384.35666,0.984,20.57743344,9.370814323,14.64929,37.712196,0.424,83.0,9.09,1.751176049,2021
Hungary,5.992,0.876,53,Very High,46.0,0.846,74.5301,15.0336281,12.24958992,32789.01063,0.987,6.37034972,3.953909159,2.86309,12.29405,0.221,12.0,15.27,4.99728219,2021
Thailand,5.985,0.895,54,Very High,66.0,0.8,78.7154,15.88221913,8.697119713,17030.15352,1.012,14.16798364,6.868660927,16.84539,18.7899,0.333,37.0,11.75,3.692920935,2021
Nicaragua,5.972,0.664,55,Medium,126.0,0.667,73.8368,12.64135783,7.144,5624.793595,0.956,22.12122876,9.870848656,25.79903661,30.693801,0.424,98.0,5.4,0.76589307,2021
Japan,5.94,0.638,56,Very High,19.0,0.925,84.7839,15.22162588,13.36610034,42274.29134,0.97,7.894689109,2.510178328,4.511,16.662889,0.083,5.0,18.18,8.149938667,2021
Argentina,5.929,0.834,57,Very High,47.0,0.842,75.3899,17.8748703,11.14726927,20925.26814,0.997,13.83730084,7.624845505,5.78729,28.099767,0.287,39.0,15.81,3.473291552,2021
Portugal,5.929,0.887,57,Very High,38.0,0.866,81.0443,16.87122917,9.575940132,33154.53343,0.994,10.56989309,3.195029259,13.05276,15.46189,0.067,8.0,12.25,3.960866197,2021
Honduras,5.919,0.809,59,Medium,137.0,0.621,70.1229,10.13281417,7.088479996,5297.955301,0.96,22.2190672,10.1333456,21.61233,34.911526,0.431,65.0,6.06,0.975263329,2021
Croatia,5.882,0.939,60,Very High,40.0,0.858,77.5804,15.11209965,12.19108434,30132.28814,0.995,6.984191534,3.756904602,4.24197,12.9537,0.093,8.0,17.06,4.136637154,2021
Philippines,5.88,0.742,61,Medium,116.0,0.699,69.2664,13.12656975,8.969099998,8920.428468,0.99,17.52378166,14.38008499,10.0958,28.09546,0.419,121.0,8.77,1.241254444,2021
South Korea,5.845,0.727,62,Very High,19.0,0.925,83.6978,16.52173996,12.51293027,44500.93187,0.944,9.264535208,2.827563286,8.836042338,16.13,0.067,11.0,22.01,11.65622391,2021
Peru,5.84,0.891,63,High,84.0,0.762,72.3769,15.38773354,9.885518863,12245.89366,0.95,16.42213438,8.638419151,14.32733,26.300654,0.38,88.0,9.43,1.355886751,2021
Bosnia and Herzegovina,5.813,0.931,64,High,74.0,0.78,75.3003,13.8,10.53631973,15241.91465,0.94,12.97720744,3.98234725,14.78890508,20.16037,0.136,10.0,14.44,6.528247977,2021
Moldova,5.766,0.918,65,High,80.0,0.767,68.8459,14.43299961,11.82159042,14875.33189,1.01,7.297466136,8.885082245,2.570094084,10.43722208,0.205,19.0,3.41,1.275891722,2021
Ecuador,5.764,0.843,66,High,95.0,0.74,73.67,14.62423038,8.817119598,10311.63273,0.98,17.76487784,8.870192528,13.3739,31.050541,0.362,59.0,7.74,1.753199871,2021
Kyrgyzstan,5.744,0.908,67,Medium,118.0,0.692,69.9774,13.1953001,11.37410556,4566.303831,0.966,9.226713037,10.48529911,3.36425,13.83059,0.37,60.0,7.82,1.763865121,2021
Greece,5.723,0.823,68,Very High,33.0,0.887,80.1106,20.02878952,11.40853024,29002.48545,0.969,10.66271436,3.612533092,11.73784,16.63777,0.119,3.0,15.17,5.01149663,2021
Bolivia,5.716,0.839,69,Medium,118.0,0.692,63.6304,14.94697094,9.827750206,8111.190194,0.964,20.47608422,18.02205467,16.54294,26.863258,0.418,155.0,11.32,1.773319863,2021
Mongolia,5.677,0.856,70,High,96.0,0.739,70.9754,14.98034954,9.423700333,10588.22532,1.031,12.72536745,9.34619236,11.88363,16.94628,0.313,45.0,10.62,26.97802818,2021
Paraguay,5.653,0.882,71,High,105.0,0.717,70.2617,12.98799113,8.861840248,12349.286,0.99,18.32046414,11.36716843,13.15316,30.441064,0.445,84.0,18.93,1.061291226,2021
Montenegro,5.581,0.812,72,Very High,49.0,0.832,76.3426,15.08160973,12.17648306,20838.80129,0.981,9.010792996,2.293318987,7.81501,16.92405,0.119,6.0,,3.677798193,2021
Dominican Republic,5.545,0.714,73,High,80.0,0.767,72.6146,14.46655802,9.306864107,17989.60037,1.014,19.4119047,17.5623951,15.04513,25.628189,0.429,95.0,9.54,2.559875589,2021
Belarus,5.534,0.627,75,Very High,60.0,0.808,72.438,15.16996956,12.14358044,18848.96704,1.011,5.255721395,3.349644184,2.77203,9.64549,0.104,2.0,5.59,6.07931383,2021
Tajikistan,5.466,0.553,78,Medium,122.0,0.685,71.5942,11.65303618,11.3333938,4547.742427,0.909,12.34022282,16.51501846,6.03825,14.4674,0.285,17.0,5.75,0.990569475,2021
Libya,5.41,0.667,80,High,104.0,0.718,71.9112,12.85428,7.599985,15335.712,0.975,,7.824037075,,,0.259,72.0,16.08,7.381523009,2021
Malaysia,5.384,0.839,81,Very High,62.0,0.803,74.8839,13.34304047,10.64505959,26657.94355,0.982,,6.002527237,12.06360206,,0.228,29.0,19.59,8.422647483,2021
Indonesia,5.345,0.867,82,High,114.0,0.705,67.5703,13.74889386,8.556509972,11466.06836,0.941,16.86744309,13.23504257,17.25001669,20.11727,0.444,177.0,6.77,2.155208427,2021
China,5.339,0.755,84,High,79.0,0.768,78.2107,14.2361149,7.600118446,17504.39969,0.984,14.77805961,5.263178825,11.68,27.391,0.192,29.0,21.96,7.411735759,2021
Ivory Coast,5.306,0.794,85,Medium,159.0,0.55,58.5983,10.67558002,5.199138977,5217.448516,0.887,34.3359808,30.35745239,45.60904,27.04145,0.613,617.0,3.26,0.381780097,2021
Armenia,5.283,0.629,86,High,85.0,0.759,72.0431,13.11676025,11.33030033,13157.9939,1.001,9.136398122,7.035874367,2.93495,17.43837,0.216,26.0,5.95,1.987788379,2021
Nepal,5.269,0.727,87,Medium,143.0,0.602,68.4495,12.88694954,5.121792742,3877.315444,0.942,24.31912877,15.5418663,41.0992,16.31632,0.452,186.0,5.58,0.582002668,2021
Bulgaria,5.266,0.932,88,High,68.0,0.795,71.798,13.89729023,11.41318035,23078.95595,0.995,11.37176091,5.180382729,5.93179,23.00311,0.21,10.0,15.02,5.388845994,2021
Maldives,5.198,0.825,89,High,90.0,0.747,79.9182,12.63560963,7.322,15448.12788,0.925,19.76629861,4.133515835,29.31948,25.8459,0.348,53.0,,3.32350373,2021
Azerbaijan,5.171,0.506,90,High,91.0,0.745,69.3658,13.49689007,10.5429697,14256.74456,0.974,7.915732963,11.32313728,3.56506161,8.859,0.294,26.0,10.56,3.720272365,2021
Cameroon,5.142,0.848,91,Medium,151.0,0.576,60.3334,13.10859922,6.15131,3620.932408,0.885,31.72993835,28.48371506,31.71699,34.98911,0.565,529.0,2.13,0.259524431,2021
Senegal,5.132,0.801,92,Low,170.0,0.511,67.0926,8.963749886,2.937938258,3344.311825,0.874,29.54915667,18.12817001,47.1353,23.384,0.53,315.0,4.09,0.624178545,2021
Albania,5.117,0.901,93,High,67.0,0.796,76.4626,14.44799995,11.28645502,14131.11039,1.007,10.76768488,6.790634632,12.33344,13.17898,0.144,15.0,12.96,1.575753953,2021
North Macedonia,5.101,0.905,94,High,78.0,0.77,73.8415,13.62443234,10.22815037,15917.75283,0.945,10.64682541,4.415046215,8.36817,19.15726,0.134,7.0,12.29,3.430253041,2021
Ghana,5.088,0.848,95,Medium,133.0,0.632,63.7954,12.04778004,8.329886695,5744.504017,0.946,27.33194806,22.75168419,35.10167,24.14249,0.529,308.0,3.92,0.514959318,2021
Niger,5.074,0.693,96,Low,189.0,0.4,61.5763,6.957111988,2.116717299,1239.866936,0.835,26.71059986,28.73307037,34.96483,16.43389921,0.611,509.0,4.19,0.069832068,2021
Turkmenistan,5.066,0.888,97,High,91.0,0.745,69.2644,13.21039963,11.26139,13020.7155,0.956,16.37204107,19.9665432,2.94467,26.20491,0.177,7.0,13.13,12.49132843,2021
Gambia,5.051,0.746,98,Low,174.0,0.5,62.083,9.418626299,4.637487411,2172.207664,0.924,29.27151682,23.34724045,47.00005,17.46726,0.611,597.0,3.77,0.206859196,2021
Benin,5.045,0.661,99,Low,166.0,0.525,59.821,10.76667976,4.304786445,3408.965923,0.88,36.1098793,32.66172791,43.69355,31.97436,0.602,397.0,3.4,0.552890326,2021
Bangladesh,5.025,0.682,101,Medium,129.0,0.661,72.3811,12.44198036,7.379059792,5472.104781,0.898,23.13718939,15.54324818,37.31177,16.55655,0.53,173.0,2.88,0.563737615,2021
Guinea,4.984,0.766,102,Low,182.0,0.465,58.8922,9.805297465,2.202125952,2480.887182,0.85,34.33844766,35.05346298,50.12411,17.83777,0.621,576.0,4.77,0.258436989,2021
South Africa,4.956,0.86,103,High,109.0,0.713,62.341,13.64371014,11.37316036,12948.37325,0.944,31.05112691,18.86325073,17.29413,56.996,0.405,119.0,7.55,7.620419537,2021
Turkey,4.948,0.776,104,Very High,48.0,0.838,76.0324,18.3382206,8.63313961,31032.80106,0.937,14.195661,5.864824295,13.64287582,23.07928288,0.272,17.0,17.49,4.657320907,2021
Pakistan,4.934,0.787,105,Low,161.0,0.544,66.0979,8.658349991,4.536330223,4623.70543,0.81,29.21919322,26.89546967,43.52795,17.23416,0.534,140.0,3.45,1.062756182,2021
Morocco,4.918,0.801,106,Medium,123.0,0.683,74.0419,14.15190983,5.916,7302.81917,0.861,25.09769131,10.91862392,41.87093,22.50352,0.425,70.0,6.95,1.74845085,2021
Venezuela,4.892,0.827,107,Medium,120.0,0.691,70.5536,12.81608,11.10727736,4810.882621,0.983,14.16183998,12.81492996,8.67058997,21.0,0.492,125.0,9.6,2.975442345,2021
Georgia,4.891,0.655,108,Very High,63.0,0.802,71.694,15.56851959,12.82221985,14664.16825,1.007,11.41161372,6.600036144,2.784805013,24.85,0.28,25.0,10.35,2.498792354,2021
Algeria,4.887,0.752,109,High,91.0,0.745,76.3767,14.62689602,8.069284397,10800.22546,0.88,19.07287475,12.43080425,33.28262,11.5052,0.499,112.0,11.21,3.534590875,2021
Ukraine,4.875,0.924,110,High,77.0,0.773,71.624,14.95656854,11.13142043,13255.50977,1.012,5.967098327,5.777312279,3.59926,8.524722702,0.2,19.0,11.91,4.891161661,2021
Iraq,4.854,0.875,111,Medium,121.0,0.686,70.3779,12.08747317,7.905593489,9977.249073,0.803,18.80229155,13.98201466,29.74591,12.67895,0.558,79.0,11.87,5.241572172,2021
Gabon,4.852,0.84,112,High,112.0,0.706,65.821,12.97731,9.436,13366.93455,0.908,21.46330738,19.69610405,23.47992,21.2138981,0.541,252.0,9.15,1.931138222,2021
Burkina Faso,4.834,0.748,113,Low,184.0,0.449,59.2696,9.142100334,2.114962259,2117.915916,0.903,29.27530611,31.36138916,39.15279412,17.31173505,0.621,320.0,2.96,0.189903275,2021
Cambodia,4.83,0.843,114,Medium,146.0,0.593,69.5835,11.46772,5.088,4078.697154,0.926,19.00450602,15.36655807,27.30485,14.34211,0.461,160.0,5.7,0.916659614,2021
Mozambique,4.794,0.684,115,Low,185.0,0.446,59.3247,10.2191516,3.197641838,1198.073924,0.922,32.40842271,28.29929733,40.5314308,28.39454,0.537,289.0,2.19,0.210232236,2021
Nigeria,4.759,0.878,116,Low,163.0,0.535,52.676,10.12758388,7.181074153,4790.284425,0.863,36.02441703,39.60649109,40.41507,28.05169,0.68,917.0,3.6,0.608631271,2021
Mali,4.723,0.827,117,Low,186.0,0.428,58.9414,7.423037617,2.31,2132.629443,0.887,31.07790617,32.81034851,43.85965,16.56372,0.613,562.0,4.57,0.167400521,2021
Iran,4.721,0.714,118,High,76.0,0.774,73.8749,14.61524963,10.63645314,13000.7117,0.88,11.07722438,8.532962799,4.984428444,19.71428189,0.459,16.0,13.16,8.870210046,2021
Uganda,4.636,0.855,119,Low,166.0,0.525,62.7048,10.14986994,5.730941566,2181.43651,0.927,24.41962152,20.4040966,27.91438,24.94038796,0.53,375.0,1.92,0.106954357,2021
Liberia,4.625,0.85,120,Low,178.0,0.481,60.7472,10.42078972,5.082,1288.74235,0.871,30.66384255,30.12607765,42.11968,19.74577,0.648,661.0,2.71,0.199498545,2021
Kenya,4.607,0.825,121,Medium,152.0,0.575,61.427,10.69855835,6.652,4473.570344,0.941,25.6850841,21.01152229,22.89552,33.14821,0.506,342.0,4.62,0.300273588,2021
Tunisia,4.596,0.87,122,High,97.0,0.731,73.7719,15.42538224,7.431598614,10257.54477,0.931,19.18297336,9.956520081,30.70285,16.88955,0.259,43.0,9.17,2.379863502,2021
Lebanon,4.584,0.898,123,High,112.0,0.706,75.0472,11.28587,8.718636,9525.831467,0.882,,5.557227612,6.177,,0.432,29.0,12.4,3.804777564,2021
Namibia,4.574,0.847,124,Medium,139.0,0.615,59.269,11.92720692,7.192013277,8633.504452,1.004,32.83945475,19.91711426,25.01567,53.58558,0.445,195.0,11.92,1.525913011,2021
Myanmar,4.426,0.66,126,Medium,149.0,0.585,65.6716,10.90913752,6.37680006,3850.524234,0.944,,21.22284508,26.85272,,0.498,250.0,2.06,0.667627891,2021
Jordan,4.395,0.705,127,High,102.0,0.72,74.2563,10.64655972,10.44668007,9923.714974,0.887,14.20510318,9.261599541,15.44186,17.91185,0.471,46.0,7.03,2.497997184,2021
Chad,4.355,0.807,128,Low,190.0,0.394,52.5254,8.035914334,2.57377421,1364.169417,0.77,35.99797978,38.55884933,42.9329,26.50219,0.652,1140.0,8.26,0.055540457,2021
Sri Lanka,4.325,0.863,129,High,73.0,0.782,76.3991,14.13990486,10.82730007,12578.22055,0.949,13.18638698,5.198720932,11.99693,22.36351,0.383,36.0,4.36,0.985665463,2021
Comoros,4.289,0.781,131,Medium,156.0,0.558,63.4174,11.92432393,5.078649,3142.064119,0.891,43.06900853,25.57926559,47.61438,56.01338,,273.0,,0.29721677,2021
Egypt,4.283,0.795,132,High,97.0,0.731,70.2207,13.78649972,9.573026174,11731.69056,0.882,28.03942983,10.67237949,36.94291,36.503,0.443,37.0,8.22,2.085874268,2021
Ethiopia,4.275,0.761,133,Low,175.0,0.498,64.9748,9.651071421,3.201520681,2361.069604,0.921,25.99192684,23.12960052,42.77036,12.07582,0.52,401.0,0.47,0.127560389,2021
Mauritania,4.227,0.731,134,Medium,158.0,0.556,64.3636,9.376159668,4.918804891,5075.305711,0.89,29.02167279,25.73825836,43.98689,17.33987,0.632,766.0,7.75,0.726332991,2021
Madagascar,4.208,0.803,135,Low,173.0,0.501,64.4853,10.13499142,5.120468534,1483.520983,0.956,26.85263932,23.65509796,29.34582,27.557,0.556,335.0,1.51,0.132880633,2021
Togo,4.107,0.772,136,Low,162.0,0.539,61.6194,12.95049378,5.016807367,2166.619062,0.849,30.7737213,27.74024391,37.72766,26.85326,0.58,396.0,4.14,0.264726786,2021
Zambia,4.073,0.823,137,Medium,154.0,0.565,61.2234,10.92876021,7.187091494,3217.767739,0.965,30.10964459,25.05299377,20.43572,44.84022,0.54,213.0,2.38,0.3575346,2021
Sierra Leone,3.849,0.866,138,Low,181.0,0.477,60.0624,9.57339109,4.576081285,1621.512579,0.893,34.15862986,35.11730957,47.50289,19.85569,0.633,1120.0,2.12,0.109965133,2021
India,3.819,0.774,139,Medium,132.0,0.633,67.2398,11.87462044,6.655109195,6589.980037,0.849,24.39381027,16.93670082,36.87573,19.369,0.49,133.0,5.23,1.769409088,2021
Burundi,3.775,0.607,140,Low,187.0,0.426,61.6627,10.72272189,3.129266883,731.7867086,0.935,28.67465287,25.60641861,39.48821,20.92933,0.505,548.0,1.71,0.050642582,2021
Yemen,3.658,0.8,141,Low,183.0,0.455,63.7534,9.09871006,3.2,1314.270189,0.496,31.54348443,26.68957329,46.13765,21.80323,0.82,164.0,2.89,0.327509951,2021
Tanzania,3.623,0.577,142,Low,160.0,0.549,66.2007,9.221489906,6.37289871,2664.329096,0.943,23.69202603,21.7159481,26.96013,22.4,0.56,524.0,1.58,0.183121172,2021
Haiti,3.615,0.721,143,Low,163.0,0.535,63.1924,9.7,5.554,2847.500746,0.898,38.1192817,26.58240509,37.33677,50.43867,0.635,480.0,2.4,0.256039713,2021
Malawi,3.6,0.729,144,Low,169.0,0.512,62.9044,12.67898523,4.489695385,1465.635064,0.968,26.32042065,19.67700195,28.00731,31.27695,0.554,349.0,1.71,0.072922295,2021
Lesotho,3.512,0.915,145,Low,168.0,0.514,53.062,12.04087801,6.010184707,2700.435748,0.985,27.39429777,33.0491333,19.55712,29.57664,0.557,544.0,,1.019209252,2021
Botswana,3.467,0.801,146,Medium,117.0,0.693,61.1409,12.26513765,10.34,16198.31841,0.981,,21.56492996,23.27683,,0.468,144.0,14.19,2.772080776,2021
Rwanda,3.415,0.167,147,Low,165.0,0.534,66.0722,11.23097038,4.425292358,2209.795202,0.954,24.64764153,19.39137459,27.35907,27.19248,0.388,248.0,2.0,0.079731518,2021
Zimbabwe,3.145,0.821,148,Medium,146.0,0.593,59.2531,12.11096904,8.710908501,3809.887158,0.961,22.47084979,24.03850937,14.60503,28.76901,0.532,458.0,1.21,0.708561788,2021
Afghanistan,2.523,0.924,149,Low,180.0,0.478,61.9824,10.26384398,2.98506999,1824.190915,0.681,,26.16536713,45.36517,,0.678,638.0,1.38,0.312376488,2021
