Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Denmark,1,7.526,0.44453,Very High,6.0,0.943,80.8803,19.06605911,13.16281986,55471.41408,0.979,6.399576271,3.422578812,4.29257,11.48358,0.034,4.0,24.35,6.480325401,2016
Switzerland,2,7.509,0.41203,Very High,1.0,0.956,83.4452,16.24938011,13.66668034,68993.42475,0.966,6.585529425,3.342828274,1.93114,14.48262,0.039,5.0,35.31,4.676955631,2016
Iceland,3,7.501,0.14975,Very High,3.0,0.948,82.03,19.17450905,13.32010517,52768.75433,0.978,4.948546981,2.241740942,2.79474,9.80916,0.053,4.0,83.51,10.49770323,2016
Norway,4,7.498,0.35776,Very High,2.0,0.955,82.4147,17.96912956,12.81906033,64795.49042,0.99,6.884730642,2.756861925,6.06716,11.83017,0.033,3.0,38.26,8.531791111,2016
Finland,5,7.413,0.41004,Very High,11.0,0.931,81.2915,19.31543922,12.68652487,46502.46698,0.989,5.110925309,2.885515928,1.93747,10.50979,0.048,3.0,38.35,8.590699442,2016
Canada,6,7.404,0.31329,Very High,15.0,0.928,82.0434,16.00966072,13.73192024,46340.41847,0.985,7.954206041,4.452618122,2.58,16.83,0.087,10.0,35.46,15.37992637,2016
Netherlands,7,7.339,0.29927,Very High,10.0,0.933,81.547,18.04483032,12.18412018,53067.077,0.966,7.217130509,3.429671526,5.30548,12.91624,0.03,6.0,30.66,9.712168595,2016
New Zealand,8,7.334,0.41904,Very High,13.0,0.934,82.07,18.12450027,13.33483982,39558.75645,0.971,7.463859194,4.102047443,1.840131778,16.44939836,0.126,10.0,32.7,7.362684887,2016
Australia,9,7.313,0.32331,Very High,5.0,0.935,82.8707,22.74729919,12.35210991,46558.17827,0.974,7.740621191,3.415297508,2.672566064,17.134,0.101,6.0,46.32,17.14339271,2016
Sweden,10,7.291,0.40867,Very High,7.0,0.939,82.3391,18.83242989,12.41359997,51813.28127,0.986,6.739576795,2.938310385,3.74238,13.53804,0.038,4.0,29.48,4.398329525,2016
Israel,11,7.267,0.08728,Very High,22.0,0.913,82.4854,16.08654022,13.05535211,37937.41307,0.974,11.18558637,3.311211109,6.556548,23.689,0.101,3.0,26.49,7.549539184,2016
Austria,12,7.119,0.21348,Very High,25.0,0.915,81.5925,16.08119011,12.11466026,53662.57417,0.964,6.92863792,3.439393759,2.57064,14.77588,0.082,5.0,26.89,7.684141657,2016
United States,13,7.104,0.14868,Very High,21.0,0.922,78.8482,16.27448082,13.34290981,59969.35653,0.989,11.53459811,5.871336937,2.915457403,25.817,0.216,19.0,28.06,16.24694746,2016
Costa Rica,14,7.087,0.10547,Very High,58.0,0.803,79.4592,15.4200201,8.564390182,18902.33613,0.983,17.501555,6.100358009,12.18311,34.221197,0.312,28.0,16.95,1.617134535,2016
Germany,16,6.994,0.28551,Very High,9.0,0.941,80.8471,16.87524033,14.1321497,53349.82314,0.97,7.369450485,3.650301456,2.7227,15.73535,0.085,5.0,20.5,9.741451444,2016
Brazil,17,6.952,0.14166,High,87.0,0.755,74.4415,15.45316982,7.731040001,14143.48937,0.992,23.0573235,10.23794651,18.39506,40.538964,0.431,62.0,18.57,2.390088781,2016
Belgium,18,6.929,0.26248,Very High,13.0,0.927,81.2661,19.69990921,11.98532009,50509.14666,0.973,8.085200491,3.524961472,8.6933,12.03734,0.06,5.0,29.39,8.795878609,2016
Ireland,19,6.907,0.29754,Very High,8.0,0.929,81.5498,18.79326057,11.36181815,59305.86957,0.977,8.083984523,3.259653568,2.87308,18.11922,0.092,6.0,32.19,8.551467179,2016
Luxembourg,20,6.871,0.35329,Very High,17.0,0.923,82.0535,14.22751999,12.84430344,77076.00087,0.987,9.307143152,3.615469456,9.35443,14.95153,0.063,5.0,46.52,15.6969879,2016
Mexico,21,6.778,0.18355,High,86.0,0.772,74.4122,14.6375103,8.599900246,19021.831,0.957,18.4548364,10.44932079,14.11041542,30.804773,0.341,34.0,9.74,3.914577835,2016
Singapore,22,6.739,0.46987,Very High,12.0,0.934,83.0001,16.31657982,11.58815956,86277.83995,0.987,12.85608801,2.609333754,10.99852963,24.96040064,0.048,8.0,56.53,7.123683634,2016
United Kingdom,23,6.725,0.27399,Very High,18.0,0.927,81.0747,17.41354465,13.07054679,44729.56153,0.97,8.249385787,3.906587362,3.74374,17.09783,0.125,7.0,18.27,6.023375325,2016
Chile,24,6.705,0.11451,Very High,42.0,0.85,80.0794,16.41803932,10.42321491,23781.35546,0.966,15.35295193,5.861115456,11.98775734,28.209983,0.259,13.0,12.57,4.634613919,2016
Panama,25,6.701,0.08423,Very High,61.0,0.805,77.6529,12.90561008,10.11919022,27197.93332,1.002,20.61424593,11.69146061,12.56513417,37.586143,0.425,55.0,10.7,2.614564296,2016
Argentina,26,6.65,0.07296,Very High,47.0,0.847,76.3077,17.66885948,10.92819023,22694.2851,0.996,13.7881569,8.235307693,6.15194,26.977223,0.338,40.0,16.95,4.389426792,2016
United Arab Emirates,28,6.573,0.35561,Very High,26.0,0.87,79.3347,13.42131042,10.8426199,66881.32974,0.921,,5.154098988,18.24143743,,0.118,3.0,64.95,22.93208617,2016
Uruguay,29,6.545,0.21394,Very High,58.0,0.815,77.5707,16.63433075,8.70388031,21673.66035,1.021,12.29754589,6.534725666,6.65935,23.698562,0.29,18.0,22.0,1.904250687,2016
Malta,30,6.488,0.17554,Very High,23.0,0.891,83.1107,15.84722996,11.28810978,36635.29704,0.965,8.454573313,5.573339939,6.86637,12.92401,0.19,6.0,47.96,3.222677524,2016
Colombia,31,6.481,0.05399,High,88.0,0.759,76.4713,14.41985989,8.221500397,14044.84239,0.991,20.99439852,10.00914955,16.19259,36.781456,0.427,84.0,9.37,1.935483121,2016
France,32,6.478,0.17808,Very High,28.0,0.895,82.4372,15.52842999,11.35085964,44814.41572,0.988,8.685130547,3.87375164,8.59672,13.58492,0.092,8.0,19.79,5.158359374,2016
Thailand,33,6.474,0.02833,Very High,66.0,0.785,78.0489,15.42483997,8.315620422,15993.77762,0.996,16.19998765,8.201972961,16.58373,23.81426,0.408,37.0,10.4,4.109455195,2016
Saudi Arabia,34,6.379,0.30008,Very High,35.0,0.864,77.0643,16.13574982,10.08080983,49681.68654,0.9,,6.070958614,18.60202657,,0.287,17.0,32.71,19.69755248,2016
Qatar,36,6.375,0.48049,Very High,42.0,0.85,80.4335,12.21823025,9.667340279,94985.79979,1.022,,4.843249321,11.76445408,,0.515,9.0,51.08,33.49433802,2016
Spain,37,6.361,0.06137,Very High,27.0,0.895,83.0411,17.54027939,10.01107979,38616.27705,0.985,14.5680795,2.990808487,18.56616,22.14727,0.07,4.0,15.42,5.591568752,2016
Algeria,38,6.355,0.16157,High,91.0,0.743,75.7318,14.47958809,7.877038634,11707.07707,0.871,19.64391303,13.87853909,33.68956,11.36364,0.428,113.0,9.35,3.67259156,2016
Guatemala,39,6.324,0.08701,Medium,135.0,0.639,72.3547,10.70512247,5.774713993,8028.858895,0.931,26.90725175,16.20682526,34.95493,29.56,0.513,98.0,5.1,1.019895223,2016
Suriname,40,6.269,0.12692,High,99.0,0.747,71.5924,12.9379884,9.472836021,17234.12239,1.001,,12.55263138,,,0.44,121.0,,4.02894025,2016
Kuwait,41,6.239,0.23669,Very High,50.0,0.833,79.7011,14.84911922,7.132780075,60888.65689,1.008,,5.523573875,22.46443172,,0.296,12.0,56.98,25.48948349,2016
Bahrain,42,6.218,0.25772,Very High,35.0,0.865,79.5569,16.34917068,9.322070122,45331.79071,0.932,,5.073634148,17.439716,,0.236,15.0,22.92,22.00377054,2016
